Ticker,opening,closing,NextHigh,high,low,day
GOOS,43.63,44.39,40.88,44.72,43.6,1
GOOS,40.85,38.7,38.97,40.88,37.81,2
GOOS,38.55,37.68,37.84,38.97,37.38,3
GOOS,37.72,36.52,37.15,37.84,36.3976,4
GOOS,36.81,36.1,36.1,37.15,36.09,5
GOOS,35.72,35.1,37.42,36.1,34.58,6
GOOS,35.6,36.86,36.5,37.42,35.6,7
GOOS,36.05,35.69,36.58,36.5,35.32,8
GOOS,35.69,36.24,38.06,36.58,35.66,9
GOOS,36.63,37.48,38.82,38.06,36.58,10
GOOS,37.72,38.49,39.315,38.82,37.66,11
GOOS,38.66,39.22,39.585,39.315,38.39,12
GOOS,38.81,38.89,39.33,39.585,38.66,13
GOOS,38.94,38.81,39.33,39.33,38.68,14
GOOS,38.8,38.52,38.95,39.33,38.28,15
GOOS,38.57,38.38,40.48,38.95,38.17,16
GOOS,38.64,40.41,41.42,40.48,38.575,17
GOOS,40.14,41.41,41.86,41.42,40.02,18
GOOS,41.47,41.85,42.13,41.86,40.81,19
GOOS,41.89,40.29,39.87,42.13,40.26,20
GOOS,39.79,37.94,39.21,39.87,37.85,21
GOOS,38.18,38.57,39.76,39.21,37.4919,22
GOOS,38.81,39.63,39.99,39.76,38.546,23
GOOS,39.96,38.48,39.279,39.99,38.25,24
GOOS,38.4,39.04,38.94,39.279,38.25,25
GOOS,38.94,37.57,37.91,38.94,37.56,26
GOOS,37.91,36.96,37.5,37.91,36.57,27
GOOS,36.7,37.28,36.935,37.5,36.64,28
GOOS,36.64,36.41,37.2,36.935,35.69,29
GOOS,36.54,36.92,37.82,37.2,36.31,30
GOOS,37.14,37.46,38.79,37.82,37.14,31
GOOS,37.79,38.33,38.3,38.79,37.58,32
GOOS,37.98,38.18,39.91,38.3,37.35,33
GOOS,38.32,39.44,39.25,39.91,38.1,34
GOOS,39.14,37.4,37.65,39.25,37.3,35
GOOS,37.59,36.42,36.42,37.65,36.18,36
GOOS,36.28,35.67,36.36,36.42,35.63,37
GOOS,35.9,36.09,36.34,36.36,35.68,38
GOOS,36.13,35.78,37.13,36.34,35.4,39
GOOS,35.85,36.31,36.69,37.13,35.79,40
GOOS,35.9,36.6,38.04,36.69,35.35,41
GOOS,37.0,37.43,37.89,38.04,36.935,42
GOOS,37.39,37.31,38.37,37.89,37.1,43
GOOS,37.3,36.91,37.84,38.37,36.9,44
GOOS,36.67,37.62,38.65,37.84,37.01,45
GOOS,37.65,38.49,39.0,38.65,37.52,46
GOOS,38.8,38.25,38.63,39.0,38.2,47
GOOS,38.47,37.97,38.84,38.63,37.69,48
GOOS,37.67,38.82,39.45,38.84,37.51,49
GOOS,39.01,39.23,40.23,39.45,38.71,50
GOOS,39.52,39.72,40.39,40.23,39.3,51
GOOS,39.69,40.09,40.09,40.39,39.69,52
GOOS,39.87,39.86,40.31,40.09,39.4172,53
GOOS,39.75,39.65,39.89,40.31,39.27,54
GOOS,39.8,39.05,39.07,39.89,38.645,55
GOOS,39.07,36.77,37.73,39.07,36.74,56
GOOS,36.86,37.4,37.67,37.73,36.86,57
GOOS,37.0,37.1,38.69,37.67,36.82,58
GOOS,37.25,38.2,39.4008,38.69,37.15,59
GOOS,38.27,39.11,40.39,39.4008,38.04,60
GOOS,39.01,39.75,40.59,40.39,39.01,61
GOOS,39.98,40.44,49.36,40.59,39.73,62
GOOS,45.39,48.26,49.6,49.36,44.92,63
GOOS,47.615,49.41,50.94,49.6,46.88,64
GOOS,49.3,50.39,50.09,50.94,48.79,65
GOOS,49.53,47.84,49.33,50.09,47.275,66
GOOS,48.45,49.17,51.35,49.33,47.61,67
GOOS,49.66,50.57,51.87,51.35,49.28,68
GOOS,50.815,51.84,53.64,51.87,50.29,69
GOOS,51.92,53.08,53.165,53.64,51.35,70
GOOS,53.03,51.63,52.49,53.165,50.62,71
GOOS,52.02,51.115,52.07,52.49,50.51,72
GOOS,51.11,51.2,51.5,52.07,50.915,73
GOOS,51.5,49.4,49.71,51.5,49.39,74
GOOS,49.32,48.76,48.4062,49.71,48.124,75
GOOS,48.09,48.27,47.4,48.4062,47.23,76
GOOS,46.8,45.88,46.7,47.4,45.69,77
GOOS,46.54,45.94,46.14,46.7,45.45,78
GOOS,45.51,44.6,45.85,46.14,43.69,79
GOOS,45.35,41.28,41.69,45.85,41.23,80
GOOS,41.21,39.45,39.76,41.69,38.77,81
GOOS,39.46,36.525,37.71,39.76,35.88,82
GOOS,36.85,37.48,41.55,37.71,35.61,83
GOOS,38.59,40.74,40.99,41.55,38.38,84
GOOS,40.86,40.76,41.03,40.99,39.41,85
GOOS,40.76,39.41,39.95,41.03,39.18,86
GOOS,39.95,38.82,38.82,39.95,38.34,87
GOOS,38.66,37.45,37.95,38.82,37.06,88
GOOS,37.56,37.39,37.6,37.95,36.48,89
OKE,52.03,52.7,52.98,52.81,51.8584,1
OKE,52.78,52.83,53.39,52.98,52.16,2
OKE,52.99,53.36,53.49,53.39,52.59,3
OKE,53.33,52.46,52.6,53.49,52.385,4
OKE,52.03,51.75,52.08,52.6,51.5185,5
OKE,51.25,51.27,51.715,52.08,50.42,6
OKE,51.25,50.56,50.34,51.715,50.43,7
OKE,49.83,49.27,50.44,50.34,48.51,8
OKE,49.13,50.43,52.109,50.44,48.8,9
OKE,51.5,51.98,53.17,52.109,51.17,10
OKE,52.26,52.96,54.02,53.17,52.135,11
OKE,52.98,53.45,53.58,54.02,52.67,12
OKE,53.37,52.53,54.24,53.58,52.52,13
OKE,53.11,53.83,54.05,54.24,53.0,14
OKE,53.94,53.03,53.1,54.05,53.02,15
OKE,52.8,52.52,52.675,53.1,52.36,16
OKE,52.39,52.08,53.42,52.675,52.04,17
OKE,52.4,53.3,53.69,53.42,52.4,18
OKE,53.35,53.18,53.47,53.69,52.8378,19
OKE,52.84,52.46,53.28,53.47,52.32,20
OKE,52.7,52.36,53.08,53.28,52.17,21
