Ticker,opening,closing,NextHigh,high,low
ESI,11.5,11.68,12.0,11.87,11.25
ESI,11.62,11.81,11.85,12.0,11.62
ESI,11.85,11.72,11.78,11.85,11.58
ESI,11.7,11.75,11.91,11.78,11.57
ESI,11.66,11.44,11.63,11.91,11.375
ESI,11.34,11.565,11.62,11.63,11.15
ESI,11.59,11.355,11.61,11.62,11.26
ESI,11.45,11.395,11.56,11.61,11.36
ESI,11.46,11.395,11.33,11.56,11.32
ESI,11.32,11.0,11.46,11.33,10.985
ESI,11.25,11.16,11.21,11.46,11.045
ESI,11.02,11.06,11.36,11.21,10.97
ESI,11.05,11.34,11.43,11.36,11.05
ESI,11.36,11.27,11.43,11.43,11.16
ESI,11.34,11.2,11.505,11.43,11.18
ESI,11.25,11.36,11.62,11.505,11.24
ESI,11.32,11.47,11.875,11.62,11.305
ESI,11.68,11.85,11.88,11.875,11.5
ESI,11.86,11.26,11.39,11.88,11.25
ESI,11.27,11.31,11.78,11.39,11.05
ESI,11.35,11.69,11.75,11.78,11.35
ESI,11.73,11.51,11.56,11.75,11.43
ESI,11.47,11.23,11.255,11.56,11.22
ESI,11.23,11.005,11.04,11.255,10.85
ESI,10.86,10.9,11.26,11.04,10.74
ESI,10.94,11.23,11.43,11.26,10.94
ESI,11.29,11.35,11.45,11.43,11.21
ESI,11.35,11.16,11.18,11.45,11.1
ESI,11.11,10.7,10.801,11.18,10.67
ESI,10.67,10.59,10.67,10.801,10.53
ESI,10.6,10.57,10.68,10.67,10.41
ESI,10.655,10.49,10.55,10.68,10.42
ESI,10.46,10.33,10.57,10.55,10.12
ESI,10.3,10.57,10.57,10.57,10.25
ESI,10.5,10.12,10.15,10.57,10.07
ESI,10.09,10.05,10.255,10.15,9.97
ESI,10.18,9.89,9.93,10.255,9.83
ESI,9.91,9.76,10.11,9.93,9.71
ESI,9.68,10.06,10.22,10.11,9.67
ESI,10.11,10.1,10.37,10.22,9.99
ESI,10.2,10.26,10.33,10.37,10.18
ESI,10.2,10.24,10.475,10.33,10.14
ESI,10.34,10.3,10.63,10.475,10.26
ESI,10.31,10.63,10.69,10.63,10.25
ESI,10.66,10.68,10.695,10.69,10.54
ESI,10.6,10.57,10.72,10.695,10.54
ESI,10.52,10.55,10.8,10.72,10.4
ESI,10.53,10.65,10.7,10.8,10.45
