Ticker,opening,closing,NextHigh,high,low,day
BABA,166.79,162.9,166.65,167.1,162.76,1
BABA,165.36,166.28,169.94,166.65,163.11,2
BABA,169.12,164.79,164.795,169.94,164.5,3
BABA,164.795,158.72,162.1,164.795,158.3,4
BABA,161.83,162.09,164.48,162.1,159.48,5
BABA,162.16,160.18,166.48,164.48,159.54,6
BABA,163.68,163.93,169.63,166.48,161.82,7
BABA,167.0,167.85,167.8,169.63,166.56,8
BABA,165.28,166.81,168.46,167.8,163.4,9
BABA,167.32,166.59,169.94,168.46,165.67,10
BABA,168.36,168.47,168.3,169.94,166.67,11
BABA,168.1,161.63,148.5,168.3,161.135,12
BABA,146.86,143.59,145.06,148.5,141.89,13
BABA,143.04,140.35,140.7,145.06,140.0,14
BABA,139.91,136.59,136.8499,140.7,135.21,15
BABA,136.032,133.61,136.76,136.8499,133.31,16
BABA,133.15,136.47,133.9804,136.76,131.22,17
BABA,133.19,133.38,134.55,133.9804,131.22,18
BABA,134.1,131.63,131.32,134.55,130.55,19
BABA,129.9008,127.46,129.155,131.32,126.13,20
BABA,128.51,122.45,125.0,129.155,121.9,21
BABA,123.12,121.89,118.19,125.0,119.3401,22
BABA,118.19,111.99,123.82,118.19,108.7,23
BABA,113.64,123.59,129.4499,123.82,113.43,24
BABA,129.3,125.53,126.97,129.4499,123.4601,25
BABA,123.03,125.06,127.76,126.97,121.32,26
BABA,124.67,123.92,125.21,127.76,123.2117,27
BABA,123.36,125.0004,123.25,125.21,122.7797,28
BABA,122.94,122.35,127.65,123.25,119.75,29
BABA,120.51,126.57,123.59,127.65,120.3,30
BABA,122.64,122.5,125.69,123.59,117.77,31
BABA,122.33,120.29,122.87,125.69,118.9,32
BABA,119.35,122.27,118.83,122.87,117.81,33
BABA,118.51,115.0,122.98,118.83,113.695,34
BABA,116.85,122.97,118.66,122.98,116.6,35
BABA,117.05,117.8,119.59,118.66,115.15,36
BABA,116.96,118.71,121.8,119.59,115.39,37
BABA,117.63,116.61,116.42,121.8,116.1021,38
BABA,116.24,114.79,114.2,116.42,114.47,39
BABA,113.89,112.08,124.3,114.2,110.38,40
BABA,112.42,122.97,122.91,124.3,112.3,41
BABA,121.15,118.78,121.95,122.91,118.59,42
BABA,119.28,120.4,120.87,121.95,115.82,43
BABA,119.52,119.63,126.62,120.87,115.77,44
BABA,117.99,121.2,128.3999,126.62,117.7001,45
BABA,124.42,126.58,133.88,128.3999,123.465,46
BABA,130.24,129.76,132.6,133.88,128.18,47
BABA,132.1,128.3,134.23,132.6,126.23,48
BABA,129.3,132.1902,138.7,134.23,127.47,49
BABA,136.02,137.5,135.92,138.7,135.585,50
BABA,135.19,131.43,134.36,135.92,131.3,51
BABA,133.1,131.58,132.13,134.36,129.35,52
BABA,126.27,128.68,130.86,132.13,124.82,53
BABA,128.1,127.71,136.75,130.86,127.13,54
BABA,135.78,131.0,128.96,136.75,130.68,55
BABA,128.19,123.25,120.78,128.96,122.5207,56
BABA,119.3,120.3,122.4599,120.78,115.32,57
BABA,119.85,119.1305,120.93,122.4599,118.04,58
BABA,121.0,113.4,114.54,120.93,112.9624,59
BABA,113.11,111.78,115.32,114.54,110.27,60
BABA,112.97,115.31,125.87,115.32,110.06,61
BABA,118.13,125.85,128.0,125.87,117.5,62
BABA,124.81,127.21,127.63,128.0,122.97,63
BABA,127.6,122.88,125.27,127.63,121.17,64
BABA,121.73,123.47,123.94,125.27,120.73,65
BABA,121.6,122.26,116.55,123.94,119.66,66
BABA,116.1,114.79,122.24,116.55,113.6,67
BABA,118.44,121.89,126.8,122.24,116.8,68
BABA,123.09,126.47,128.34,126.8,121.94,69
BABA,124.21,124.01,126.72,128.34,123.4,70
BABA,125.335,122.28,122.384,126.72,121.94,71
BABA,120.54,121.93,126.805,122.384,119.37,72
BABA,123.96,126.24,127.58,126.805,123.3776,73
BABA,125.44,125.6,129.4,127.58,124.51,74
BABA,125.0,124.44,120.88,129.4,124.0563,75
BABA,120.7,119.005,114.85,120.88,117.2,76
BABA,113.95,112.94,115.4,114.85,112.06,77
BABA,115.1,109.77,108.79,115.4,109.6,78
BABA,100.19,107.6,108.55,108.79,100.02,79
BABA,107.89,108.0,107.49,108.55,104.0,80
BABA,105.91,105.09,111.25,107.49,103.64,81
BABA,105.86,107.04,107.39,111.25,105.85,82
BABA,107.06,105.44,106.6299,107.39,103.24,83
BABA,106.03,102.06,104.39,106.6299,101.07,84
BABA,100.42,100.64,103.36,104.39,99.33,85
BABA,99.65,98.6962,100.91,103.36,98.6,86
BABA,99.39,97.52,100.97,100.91,95.57,87
BABA,100.27,100.915,95.7,100.97,98.32,88
BABA,95.29,92.94,93.95,95.7,90.82,89
EBC,21.05,21.16,21.68,21.25,20.85,1
EBC,21.18,21.58,21.7413,21.68,21.08,2
EBC,21.7413,21.44,22.2,21.7413,21.0,3
EBC,21.65,21.8,21.96,22.2,21.492,4
EBC,21.79,21.72,21.72,21.96,21.54,5
EBC,21.64,21.15,21.31,21.72,21.11,6
EBC,21.25,20.96,21.098,21.31,20.7,7
EBC,21.02,20.96,20.96,21.098,20.81,8
EBC,20.96,20.59,21.12,20.96,20.36,9
EBC,20.72,20.83,21.24,21.12,20.65,10
EBC,20.95,21.22,21.25,21.24,20.8,11
EBC,21.195,21.21,21.42,21.25,20.83,12
EBC,21.23,21.26,21.38,21.42,21.0386,13
EBC,21.33,21.21,21.74,21.38,20.86,14
EBC,21.37,21.26,21.54,21.74,21.25,15
EBC,21.37,21.31,21.34,21.54,21.21,16
EBC,21.15,20.88,20.28,21.34,20.86,17
EBC,20.28,20.05,20.73,20.28,19.88,18
EBC,20.31,20.4,20.34,20.73,20.31,19
EBC,20.16,20.12,20.7,20.34,19.85,20
EBC,20.52,19.6,20.1,20.7,19.58,21
EBC,19.72,19.94,20.27,20.1,19.66,22
EBC,19.98,19.74,20.4,20.27,19.6,23
EBC,19.96,20.36,20.88,20.4,19.87,24
EBC,20.56,20.55,20.84,20.88,20.41,25
EBC,20.54,20.67,20.76,20.84,20.4,26
EBC,20.49,20.5,20.8,20.76,20.44,27
EBC,20.54,20.78,20.68,20.8,20.36,28
EBC,20.54,20.5,20.82,20.68,20.33,29
EBC,20.5,20.67,20.77,20.82,20.4408,30
EBC,20.77,20.65,21.055,20.77,20.12,31
EBC,20.84,20.62,20.6,21.055,20.52,32
EBC,20.6,20.15,20.12,20.6,19.94,33
EBC,20.01,20.04,20.45,20.12,19.69,34
EBC,20.14,20.19,20.4,20.45,20.05,35
EBC,20.16,20.33,20.67,20.4,20.02,36
EBC,20.44,20.15,20.505,20.67,20.14,37
EBC,20.14,20.47,20.67,20.505,20.14,38
EBC,20.43,20.52,20.64,20.67,20.4,39
EBC,20.52,20.55,20.65,20.64,20.38,40
EBC,20.59,20.18,20.295,20.65,20.145,41
EBC,20.1,20.17,20.79,20.295,20.03,42
EBC,20.32,20.67,21.155,20.79,20.32,43
EBC,20.77,21.02,21.44,21.155,20.74,44
EBC,21.15,20.87,21.68,21.44,20.855,45
EBC,21.17,21.62,21.9,21.68,21.13,46
EBC,21.67,21.62,21.8,21.9,21.37,47
EBC,21.67,21.61,21.68,21.8,21.24,48
EBC,21.64,21.63,21.88,21.68,21.4,49
EBC,21.72,21.62,22.09,21.88,21.4,50
EBC,21.85,21.86,22.25,22.09,21.68,51
EBC,21.69,22.03,22.2,22.25,21.56,52
EBC,22.12,21.52,21.66,22.2,21.45,53
EBC,21.53,20.979,21.38,21.66,20.9,54
EBC,20.85,20.58,21.07,21.38,20.55,55
EBC,20.35,20.67,20.975,21.07,20.35,56
EBC,20.77,20.91,21.25,20.975,20.29,57
EBC,20.68,21.05,21.32,21.25,20.35,58
EBC,21.23,20.59,21.11,21.32,20.27,59
EBC,20.72,20.3,20.77,21.11,19.97,60
EBC,20.09,20.655,21.35,20.77,19.9901,61
EBC,20.58,21.28,21.4,21.35,20.58,62
EBC,21.3,21.1,21.23,21.4,20.97,63
EBC,21.08,20.88,21.17,21.23,20.66,64
EBC,20.92,20.7,21.15,21.17,20.651,65
EBC,20.89,20.98,21.09,21.15,20.63,66
EBC,20.99,20.92,21.39,21.09,20.78,67
EBC,21.13,21.29,21.4799,21.39,20.97,68
EBC,21.41,21.0,21.29,21.4799,20.94,69
EBC,20.91,20.94,21.21,21.29,20.815,70
EBC,20.86,21.03,21.24,21.21,20.75,71
EBC,21.1,20.97,21.43,21.24,20.78,72
EBC,21.2,21.24,21.65,21.43,21.08,73
