Ticker,opening,closing,NextHigh,high,low,day,PrevOpening,PrevClosing,PrevHigh,PrevLow
AAXJ,86.44,85.97,86.86,86.56,85.73,1,86.52,86.28,86.71,85.88
AAXJ,86.68,86.86,86.96,86.86,86.53,2,86.44,85.97,86.56,85.73
AAXJ,86.78,86.26,86.81,86.96,86.11,3,86.68,86.86,86.86,86.53
AAXJ,86.32,86.06,87.61,86.81,85.765,4,86.78,86.26,86.96,86.11
AAXJ,87.07,87.44,88.0,87.61,87.05,5,86.32,86.06,86.81,85.765
AAXJ,87.65,87.93,88.298,88.0,87.49,6,87.07,87.44,87.61,87.05
AAXJ,88.13,87.69,88.175874,88.298,87.635,7,87.65,87.93,88.0,87.49
AAXJ,87.94,88.0,88.39,88.175874,87.73,8,88.13,87.69,88.298,87.635
AAXJ,88.03,87.52,86.82,88.39,87.32,9,87.94,88.0,88.175874,87.73
AAXJ,86.7,86.6,87.09,86.82,86.17,10,88.03,87.52,88.39,87.32
AAXJ,86.81,86.64,87.02,87.09,86.59,11,86.7,86.6,86.82,86.17
AAXJ,86.68,86.28,86.555,87.02,86.18,12,86.81,86.64,87.09,86.59
AAXJ,86.18,86.02,85.98,86.555,85.76,13,86.68,86.28,87.02,86.18
AAXJ,85.53,85.94,83.9,85.98,85.36,14,86.18,86.02,86.555,85.76
AAXJ,83.86,83.39,83.95,83.9,82.955,15,85.53,85.94,85.98,85.36
AAXJ,83.94,83.52,83.77,83.95,83.23,16,83.86,83.39,83.9,82.955
AAXJ,83.23,83.29,84.92,83.77,82.445,17,83.94,83.52,83.95,83.23
AAXJ,84.35,83.36,84.85,84.92,83.36,18,83.23,83.29,83.77,82.445
AAXJ,84.25,84.28,84.13,84.85,83.85,19,84.35,83.36,84.92,83.36
AAXJ,83.95,83.01,83.81,84.13,82.67,20,84.25,84.28,84.85,83.85
AAXJ,82.82,83.81,85.25,83.81,82.58,21,83.95,83.01,84.13,82.67
AAXJ,85.01,85.2,85.85,85.25,84.86,22,82.82,83.81,83.81,82.58
AAXJ,85.17,85.67,85.83,85.85,85.0101,23,85.01,85.2,85.25,84.86
AAXJ,85.51,85.33,85.55,85.83,85.25,24,85.17,85.67,85.85,85.0101
AAXJ,85.26,85.37,83.32,85.55,85.15,25,85.51,85.33,85.83,85.25
AAXJ,83.32,82.58,82.47,83.32,82.3201,26,85.26,85.37,85.55,85.15
AAXJ,82.0,82.37,82.04,82.47,81.8901,27,83.32,82.58,83.32,82.3201
AAXJ,81.91,81.95,82.85,82.04,80.88,28,82.0,82.37,82.47,81.8901
AAXJ,82.56,81.81,81.72,82.85,81.73,29,81.91,81.95,82.04,80.88
AAXJ,81.2,81.35,80.39,81.72,80.96,30,82.56,81.81,82.85,81.73
AAXJ,80.39,80.18,81.74,80.39,79.8,31,81.2,81.35,81.72,80.96
AAXJ,80.96,81.72,82.1,81.74,80.94,32,80.39,80.18,80.39,79.8
AAXJ,81.48,82.08,82.6399,82.1,81.35,33,80.96,81.72,81.74,80.94
