model,MSE,R2
V4_1,0.015947775280199993,0.9819982022031906
V4_2,0.01367881569582758,0.9885834804997577
V4_3,0.012684951659515773,0.9883147329512537
V4_4,0.01122258001844413,0.9885196938542633
V4_5,0.0063674526902227245,0.9919632183035663
V4_6,0.009008032675386935,0.9906557367460131
V4_7,0.01816931883813646,0.9829112561925318
V4_8,0.0074812968882753605,0.9920794056052045
V4_9,0.011734973646883038,0.98830948089747
V4_10,0.014923542113974923,0.9862601092920058
V4_11,0.013059494620878864,0.9873405845699097
V4_12,0.00825190207330497,0.9918801487902549
V4_13,0.015431712356388749,0.9859886584587823
V4_14,0.00728307622007319,0.9926807247773024
V4_15,0.023773868032271345,0.9713523160629618
V4_16,0.14768475151580215,0.8812645585418376
V4_17,0.009726508151883993,0.9904270041939569
V4_18,0.005415097186711572,0.9935201366389717
V4_19,0.05249928154889755,0.9495305523659332
V4_20,0.0573858979319095,0.94762747534482
V4_21,0.013677509617377837,0.9857871557366623
V4_22,0.011273156843091223,0.98591258979534
V4_23,0.004956278934609208,0.9947944905845125
V4_24,0.013134380154011919,0.981533480845623
V4_25,0.004508110459405652,0.9970042597976484
V4_26,0.0020484260579107143,0.9979873659185533
V4_27,0.03280861445107183,0.9681389893259157
V4_28,0.02320778712614383,0.9777463032563826
V4_29,0.01637589129336373,0.9828523326941345
V4_30,0.006482592346617167,0.9935986822088348
V4_31,0.00670578690124133,0.9928776603871278
V4_32,0.008085692408241725,0.9921017662904675
V4_33,0.010510318070861127,0.9891360909529852
V4_34,0.009106257300371607,0.9907364566501945
V4_35,0.006959503879106757,0.9928681826164305
V4_36,0.009185945085225923,0.9907474561075509
V4_37,0.006263214018520599,0.9937830196827354
V4_38,0.004533514309845421,0.9951467368217849
V4_39,0.004542328110293775,0.9955155199086704
V4_40,0.005555440007132165,0.9940214209314094
V4_41,0.011164448596578174,0.9899749355321468
V4_42,0.0045386653902334375,0.9951865973824061
V4_43,0.006113927420890497,0.993016637817641
V4_44,0.007074071141779133,0.9928072182924191
V4_45,0.007466982741714769,0.992517902886348
V4_46,0.006823538612463352,0.9930777645254415
V4_47,0.0026694944720345943,0.9967512807737561
V4_48,0.004806460135802829,0.9952882839769346
V4_49,0.009184912266709306,0.9912445706979941
V4_50,0.0033421647950358318,0.9968255246199497
V4_51,0.0077344077749422506,0.9929674173479895
V4_52,0.005086454552131171,0.9949203623031271
V4_53,0.010256794667424934,0.9913199270405542
V4_54,0.0025569332845956747,0.9970644446445662
V4_55,0.0031335763202136875,0.9966103775441231
V4_56,0.0038540729508889726,0.9959992234948415
V4_57,0.0037531672724434246,0.9961389476396296
V4_58,0.005025935560531872,0.9956206744667913
V4_59,0.012327842025162102,0.9883521195776768
V4_60,0.00666258651425538,0.9931737454145905
V4_61,0.004600448270633921,0.9952507557307713
V4_62,0.005297930897237647,0.9952914631034125
V4_63,0.003793024975300077,0.9962310852453294
V4_64,0.004949351822655062,0.995137541377273
V4_65,0.0065650766533406546,0.9937843040702993
V4_66,0.004212393654345654,0.9956129428879347
V4_67,0.005680609471679549,0.9943744918359889
V4_68,0.0046282727385616625,0.9958804742731568
V4_69,0.004771798955962399,0.9957136469379998
V4_70,0.003777777923374668,0.9956312746036025
V4_71,0.004546959475653803,0.9953330427014782
V4_72,0.0027829620219788805,0.9972959731400962
V4_73,0.009321013825776502,0.9903667278036444
V4_74,0.005780581601695031,0.9939403355017653
V4_75,0.004080864035521891,0.9959523539324183
V4_76,0.009450206708140656,0.9901355887381225
V4_77,0.0065573532652854274,0.9950231386451065
V4_78,0.004987405075647676,0.994834494903169
V4_79,0.0054561057424545815,0.9950225554524201
V4_80,0.010363673259331704,0.9899803041120673
V4_81,0.00993722682539377,0.9915171940050324
V4_82,0.008902906277485235,0.9900432829935623
V4_83,0.014846530392409504,0.9843791285972745
V4_84,0.026076762132588957,0.9706167013173117
V4_85,0.010769975930135995,0.9834949366482719
