Ticker,name,opening,closing,volume,high,low
AACG,Ata Creativity Global ADR,2.71,2.7,43214,2.74,2.64
AACIU,Armada Acquisition Corp. I,9.92,9.92,200,9.92,9.92
AADI,Aadi Biosciences Inc,25.56,25.37,103573,25.85,24.44
AADR,Advisorshares Dorsey Wright ETF,68.78,68.6946,762,68.8,68.48
AAL,American Airlines Gp,20.29,19.51,22894762,20.3,19.47
AAME,Atlantic Amer Cp,3.86,3.82,30360,3.92,3.76
AAOI,Applied Optoelect,7.3,7.285,299803,7.36,7.14
AAON,Aaon Inc,69.09,69.19,121248,69.34,68.47
AAPL,Apple Inc,149.0,153.1,83927668,153.49,148.61
AATC,Autoscope Technologies Corp,7.82,7.72,77953,8.0,7.6371
AAWW,Atlas Air Ww,73.99,73.49,243080,74.09,72.815
AAXJ,All Country Asia Ex Japan Ishares MSCI ETF,87.45,87.42,729602,87.6,86.99
ABCB,Ameris Bancorp,49.81,48.7,138785,50.21,48.61
ABCL,Abcellera Biologics Inc,17.84,17.38,971549,17.99,16.9
ABCM,Abcam Plc ADR,20.6,20.97,61551,21.09,20.6
ABEO,Abeona Therapeutics,1.29,1.29,349305,1.32,1.275
ABGI,Abg Acquisition Corp I Cl A,9.62,9.62,100,9.62,9.62
ABIO,Arca Biopharma Inc,3.09,3.05,35877,3.09,3.0
ABMD,Abiomed Inc,360.68,360.6,85567,364.485,359.81
ABNB,Airbnb Inc Cl A,154.58,156.03,3806245,157.49,151.92
ABOS,Acumen Pharmaceuticals Inc,18.91,18.68,93792,19.46,18.53
ABSI,Absci Corp,19.8,18.21,394076,20.395,17.0001
ABST,Absolute Software Cp,11.95,12.07,35528,12.13,11.91
ABTX,Allegiance Banc CS,37.96,37.07,27414,37.96,36.88
ABUS,Arbutus Biopharma Cp,3.38,3.36,1801461,3.53,3.3
ABVC,Abvc Biopharma Inc,3.17,3.13,337757,3.25,3.0
ACAD,Acadia Pharmaceutica,17.22,16.98,555392,17.36,16.83
ACAH,Atlantic Coastal Acquisition Corp Cl A,9.62,9.61,17262,9.64,9.61
ACAHU,Atlantic Coastal Acquisition Corp,9.91,9.94,25134,9.94,9.91
ACAHW,Atlantic Coastal Acquisition Corp WT,0.8699,0.86,48573,0.8699,0.7501
ACB,Aurora Cannabis Inc,7.18,7.15,2933759,7.229,6.99
ACBA,Ace Global Business Acquisition Ltd,10.0,10.0,250,10.0,10.0
ACBAU,Ace Global Business Acquisition Ltd,10.45,10.34,6200,10.45,10.28
ACBAW,Ace Global Business Acquisition WT,0.429799,0.38995,430,0.429799,0.3899
ACBI,Atlantic Capital,24.78,24.06,68142,24.78,24.0
ACCD,Accolade Inc,47.03,47.29,335553,47.95,46.64
ACER,Acer Therapeutics Inc,2.55,2.5662,34157,2.62,2.53
ACET,Adicet Bio Inc,8.13,8.0,57938,8.18,7.85
ACEV,Ace Convergence Acquisition Corp Cl A,9.86,9.87,101800,9.88,9.86
ACEVU,Ace Convergence Acquisition Corp,10.1592,10.14,1700,10.1592,10.14
ACEVW,Ace Convergence Acquisition Corp WT,0.66,0.608,20219,0.66,0.596
ACGL,Arch Capital Grp Ltd,41.77,41.26,1346734,41.99,41.17
ACGLN,Arch Capital Group Ltd,26.19,26.02,14241,26.19,26.02
ACGLO,Arch Capital Group Ltd ADR,26.22,26.4,4084,26.5,26.22
ACGLP,Arch Capital Group Ltd,25.22,25.26,9832,25.289,25.22
ACHC,Acadia Healthcr Company,66.24,66.31,199312,66.97,65.67
ACHL,Achilles Therapeutics Plc,6.49,6.47,39125,6.6,6.36
ACHV,Achieve Life Sciences Inc,7.98,7.94,49672,8.037,7.795
ACIU,AC Immune S.A.,6.87,7.0,116622,7.21,6.8
ACIW,Aci Worldwide Inc,31.92,32.12,466681,32.2,31.59
ACKIU,Ackrell Spac Partners I Co. Units,10.22,10.22,12003,10.22,10.22
ACKIW,Ackrell Spac Partners I Co. WT,0.4852,0.491,40180,0.500101,0.48
ACLS,Axcelis Tech Inc,52.13,50.94,256904,52.8,50.01
ACMR,Acm Research Inc,88.37,88.52,144333,89.1,85.25
ACNB,Acnb Corp,28.9,28.82,13033,28.9,28.66
ACOR,Acorda Therapeutics,4.25,4.15,151742,4.33,4.08
ACQR,Independence Holdings Corp Cl A,9.705,9.7691,330,9.7691,9.705
ACQRU,Independence Holdings Corp Units,9.875,9.88,300,9.88,9.87
ACQRW,Independence Holdings Corp WT,1.13,1.1,5500,1.13,1.1
ACRS,Aclaris Therapts,15.67,15.43,166765,15.78,15.19
ACRX,Acelrx Pharmaceutica,1.11,1.14,760586,1.15,1.09
ACST,Acasti Pharma,0.4159,0.4013,10484383,0.42,0.39
ACTD,Arclight Clean Transition Corp II Cl A,9.61,9.65,85546,9.72,9.61
ACTDU,Arclight Clean Transition Corp II,9.8,9.8001,1000,9.8001,9.8
ACTDW,Arclight Clean Transition Corp II WT,1.0,1.01,2849,1.03,0.9901
ACTG,Acacia Res-Acacia,5.75,5.91,449892,5.96,5.66
