Ticker,name,sector,opening,closing,high,low
MMM,3M Company,Industrials,"[['2021-08-02', 199.07]]","[['2021-08-02', 197.52]]","[['2021-08-02', 200.7]]","[['2021-08-02', 197.435]]"
ABT,Abbott Laboratories,Health Care,"[['2021-08-02', 121.5]]","[['2021-08-02', 120.92]]","[['2021-08-02', 121.78]]","[['2021-08-02', 120.175]]"
ABBV,AbbVie Inc.,Health Care,"[['2021-08-02', 116.89]]","[['2021-08-02', 115.45]]","[['2021-08-02', 117.24]]","[['2021-08-02', 115.41]]"
ABMD,Abiomed,Health Care,"[['2021-08-02', 329.81]]","[['2021-08-02', 328.36]]","[['2021-08-02', 331.17]]","[['2021-08-02', 325.25]]"
ACN,Accenture,Information Technology,"[['2021-08-02', 319.27]]","[['2021-08-02', 316.08]]","[['2021-08-02', 319.49]]","[['2021-08-02', 315.5]]"
ATVI,Activision Blizzard,Communication Services,"[['2021-08-02', 84.03]]","[['2021-08-02', 82.76]]","[['2021-08-02', 84.165]]","[['2021-08-02', 82.54]]"
ADBE,Adobe Inc.,Information Technology,"[['2021-08-02', 625.87]]","[['2021-08-02', 618.75]]","[['2021-08-02', 627.6]]","[['2021-08-02', 612.93]]"
AMD,Advanced Micro Devices,Information Technology,"[['2021-08-02', 105.93]]","[['2021-08-02', 108.63]]","[['2021-08-02', 110.33]]","[['2021-08-02', 103.83]]"
AAP,Advance Auto Parts,Consumer Discretionary,"[['2021-08-02', 213.19]]","[['2021-08-02', 212.71]]","[['2021-08-02', 213.92]]","[['2021-08-02', 210.4]]"
AES,AES Corp,Utilities,"[['2021-08-02', 23.92]]","[['2021-08-02', 23.57]]","[['2021-08-02', 23.92]]","[['2021-08-02', 23.52]]"
AFL,Aflac,Financials,"[['2021-08-02', 55.31]]","[['2021-08-02', 54.71]]","[['2021-08-02', 56.11]]","[['2021-08-02', 54.64]]"
A,Agilent Technologies,Health Care,"[['2021-08-02', 154.05]]","[['2021-08-02', 153.07]]","[['2021-08-02', 154.3]]","[['2021-08-02', 152.52]]"
APD,Air Products & Chemicals,Materials,"[['2021-08-02', 292.37]]","[['2021-08-02', 288.73]]","[['2021-08-02', 293.66]]","[['2021-08-02', 288.32]]"
AKAM,Akamai Technologies,Information Technology,"[['2021-08-02', 119.86]]","[['2021-08-02', 118.9]]","[['2021-08-02', 120.0]]","[['2021-08-02', 117.23]]"
