Ticker,openingY,closingY,highY,lowY,high
MMM,162.51,166.06,167.63,162.13,169.71
ABT,81.45,81.64,81.965,81.08,82.885
ABBV,76.39,76.53,76.79,76.22,78.38
ABMD,180.48,182.38,183.7,179.46,186.26
ACN,184.67,183.02,184.83,183.02,185.93
ATVI,56.21,55.27,56.275,55.02,56.18
ADBE,267.8,270.98,271.61,267.02,272.29
AMD,31.9,32.71,32.86,31.83,33.9103
AAP,166.5,165.58,169.69,165.34,167.97
AES,16.82,16.8,16.92,16.658,17.19
AFL,52.6,53.26,53.64,52.6,53.84
A,74.7,75.39,75.97,74.13,76.555
APD,211.48,213.22,214.12,210.21,214.47
AKAM,89.61,89.14,90.27,89.09,90.0
ALK,69.0,71.59,72.0,68.8,71.325
ALB,63.79,63.59,65.49,62.5,64.58
ARE,158.85,158.24,159.03,157.835,158.81
ALXN,118.97,114.63,119.905,113.9,114.865
ALGN,245.84,243.36,246.395,240.23,253.45
ALLE,114.05,113.3,115.98,112.83,116.55
LNT,53.62,53.18,53.71,52.97,53.31
ALL,108.19,107.22,108.2,106.73,108.27
GOOGL,1252.0,1264.28,1268.0,1249.15,1299.24
GOOG,1251.03,1265.07,1269.6,1250.01,1299.31
MO,46.68,46.79,47.16,46.54,46.7519
AMZN,1697.55,1762.0,1764.21,1695.0,1778.7
AMCR,9.52,9.72,9.77,9.52,9.7
AEE,77.58,76.59,77.6763,76.59,76.83
AAL,29.4,30.87,30.89,29.3,31.67
AEP,95.69,94.36,95.76,94.02,94.09
AXP,116.36,118.25,118.51,116.27,119.3
AIG,52.72,52.8,52.905,52.34,53.31
AMT,223.19,216.615,223.2,215.2,219.0
AWK,121.9,122.31,123.2226,121.45,123.09
AMP,149.61,149.42,150.04,147.01,153.29
ABC,85.91,86.8,87.22,85.31,88.2
AME,89.25,89.96,90.76,88.8401,91.2
AMGN,202.59,203.05,203.71,201.51,205.9824
APH,101.68,100.21,102.0,100.12,101.82
ADI,105.55,106.82,107.03,105.12,109.078
ANSS,221.12,220.24,223.22,219.94,224.4603
ANTM,258.91,263.0,263.42,258.095,271.09
AON,193.95,188.67,193.95,188.07,189.98
AOS,50.71,51.06,51.64,50.71,51.48
APA,23.22,22.07,23.26,20.57,22.65
AAPL,243.16,246.58,246.73,242.88,249.25
AMAT,54.9,55.72,55.84,54.53,57.29
APTV,88.85,89.55,89.95,88.4,90.7
ADM,40.54,41.01,41.11,40.42,41.74
ANET,242.6,244.33,245.26,240.01,251.74
AJG,91.34,89.46,92.0,88.79,89.995
AIZ,125.96,125.61,126.04,124.91,126.445
T,36.94,36.88,37.17,36.72,38.86
ATO,113.62,112.32,113.65,111.66,112.37
ADSK,144.98,145.56,147.17,144.32,147.84
ADP,162.01,162.0,163.36,161.575,162.92
AZO,1122.97,1129.98,1135.08,1120.45,1155.11
AVB,219.74,219.41,220.83,218.85,219.42
AVY,121.98,126.12,130.61,120.54,127.005
BKR,22.3,22.37,22.61,22.24,22.69
BLL,71.73,71.892,72.31,71.18,72.4
BAC,31.36,31.69,31.85,31.34,32.23
BK,45.92,46.37,46.75,45.86,47.02
BAX,77.14,77.275,77.97,75.67,78.919
BDX,245.9,244.25,248.07,244.22,249.1539
BRK.B,209.87,211.74,212.33,209.75,213.34
BBY,71.85,73.17,73.94,71.48,75.49
BIO,339.43,345.69,348.67,337.27,347.745
BIIB,278.21,285.79,287.04,278.01,290.18
BLK,455.8,459.7,460.6,451.67,469.5
BA,342.92,339.91,343.37,338.9,344.98
BKNG,2020.13,2055.89,2058.86,2019.77,2079.7
BWA,39.12,39.71,39.89,38.99,40.61
BXP,132.1,132.18,133.53,131.27,132.85
BSX,40.48,40.85,41.24,40.26,41.68
BMY,54.5,54.97,55.25,54.4,55.93
AVGO,283.26,289.83,291.37,283.2231,292.48
BR,124.55,123.53,125.18,123.38,125.23
BF.B,64.9,65.38,65.585,64.75,65.23
CHRW,87.35,90.11,90.19,87.35,91.23
COG,17.99,18.18,18.24,17.63,18.08
CDNS,64.81,65.11,65.38,64.46,66.0
CZR,12.16,12.22,12.26,12.145,12.27
CPB,47.18,46.45,47.18,46.27,46.57
COF,91.5,93.21,93.44,90.46,95.39
CAH,49.7,50.05,50.2,49.15,50.57
KMX,94.9,94.76,95.7141,94.54,95.67
CCL,43.9,44.57,44.82,43.88,44.86
CARR,13.75,16.72,17.0,13.38,17.15
CTLT,49.43,49.55,49.83,48.95,50.195
CAT,135.0,139.7,139.98,134.85,141.63
CBOE,114.0,114.14,114.95,113.385,116.33
CBRE,52.29,52.63,52.76,52.0,53.4
CDW,123.85,124.84,125.0575,123.54,127.01
CE,122.94,123.63,124.44,121.99,125.805
