Ticker,opening,closing,NextHigh,high,low
GME,17.17,17.195,17.985,17.29,16.98
GME,17.14,17.55,17.42,17.985,17.11
GME,17.42,16.43,16.84,17.42,16.22
GME,16.43,16.2,16.38,16.84,15.91
GME,16.1,16.19,16.495,16.38,15.85
GME,16.08,16.0,16.79,16.495,15.85
GME,16.01,16.17,16.58,16.79,16.01
GME,16.31,16.31,16.46,16.58,16.15
GME,16.4,16.43,16.785,16.46,16.03
GME,16.5,16.7301,18.7,16.785,16.26
GME,17.85,17.38,18.18,18.7,17.3
GME,17.43,17.38,18.18,18.18,17.35
GME,17.59,18.17,19.06,18.18,17.59
GME,18.17,19.02,19.69,19.06,18.17
GME,19.09,19.515,19.3374,19.69,19.06
GME,19.22,18.75,19.16,19.3374,18.7
GME,18.79,18.77,19.86,19.16,18.48
GME,19.04,19.395,19.65,19.86,18.99
GME,19.53,19.27,19.35,19.65,18.95
GME,19.27,19.0,19.15,19.35,18.925
GME,18.99,18.62,19.375,19.15,18.605
GME,18.67,19.19,19.3573,19.375,18.67
GME,19.28,19.08,19.295,19.3573,18.67
GME,19.15,19.1,19.16,19.295,18.96
GME,19.1,18.65,18.93,19.16,18.605
GME,18.81,18.38,18.58,18.93,18.34
GME,18.44,18.33,18.75,18.58,18.17
GME,18.45,18.66,18.8,18.75,18.4
GME,18.7,18.39,18.63,18.8,18.37
GME,18.53,18.26,18.47,18.63,18.21
GME,18.29,18.44,18.53,18.47,18.01
GME,18.45,18.285,19.18,18.53,18.25
GME,18.29,18.5,18.57,19.18,18.27
GME,18.51,18.24,18.28,18.57,18.2
GME,18.27,18.16,18.33,18.28,18.02
GME,18.23,17.95,18.29,18.33,17.94
GME,17.96,18.265,18.37,18.29,17.78
GME,18.29,18.2,18.38,18.37,17.92
GME,18.2,18.325,18.73,18.38,17.96
GME,18.38,18.68,19.4,18.73,18.22
GME,18.8,19.23,19.75,19.4,18.8
GME,19.31,19.55,19.92,19.75,19.31
GME,19.39,19.68,20.31,19.92,19.33
GME,19.92,19.96,18.54,20.31,19.77
GME,18.5,17.76,18.28,18.54,17.63
GME,18.0,17.155,17.71,18.28,17.04
GME,17.24,17.5,17.93,17.71,17.17
GME,17.47,17.86,18.18,17.93,17.21
GME,17.89,18.13,18.27,18.18,17.75
GME,18.22,17.55,17.56,18.27,17.47
GME,17.52,17.41,17.45,17.56,17.17
GME,17.4,16.97,17.0366,17.45,16.73
GME,16.98,16.83,17.09,17.0366,16.61
GME,16.86,17.075,17.2,17.09,16.61
GME,17.05,17.15,17.22,17.2,16.801
GME,17.08,17.08,17.27,17.22,16.86
GME,17.14,16.81,17.005,17.27,16.695
GME,16.7,16.65,16.66,17.005,16.57
GME,16.56,16.225,16.22,16.66,16.22
GME,16.14,15.66,16.38,16.22,15.64
GME,15.36,16.14,16.67,16.38,15.101
GME,16.16,16.47,16.55,16.67,16.15
GME,16.45,15.84,16.33,16.55,15.76
GME,15.98,16.16,16.33,16.33,15.67
GME,16.29,15.79,15.86,16.33,15.62
GME,15.76,15.575,16.4,15.86,15.49
GME,15.58,16.22,16.5,16.4,15.53
