Ticker,opening,closing,NextHigh,high,low,day
GME,221.27,218.91,227.45,222.57,214.12,1
GME,220.95,212.35,214.2,227.45,211.6,2
GME,214.0,209.25,224.45,214.2,198.5,3
GME,211.93,213.1,215.22,224.45,210.2,4
GME,214.0,210.88,215.2787,215.22,208.01,5
GME,209.6,214.0,216.83,215.2787,206.9379,6
GME,213.77,204.37,205.45,216.83,202.0,7
GME,205.0,202.83,204.77,205.45,196.5,8
GME,204.0,199.5736,197.5,204.77,193.7101,9
GME,195.89,190.39,194.22,197.5,177.56,10
GME,180.01,190.98,194.78,194.22,179.5,11
GME,191.45,191.23,197.75,194.78,186.75,12
GME,191.0,189.85,188.79,197.75,187.42,13
GME,187.89,180.01,182.38,188.79,179.0,14
GME,180.61,167.72,171.99,182.38,165.07,15
GME,159.26,166.78,179.47,171.99,158.01,16
GME,171.25,169.05,176.0,179.47,166.3,17
GME,164.13,173.42,193.6399,176.0,161.22,18
GME,174.71,191.19,195.51,193.6399,172.42,19
GME,188.72,185.8,187.69,195.51,182.11,20
GME,185.3,178.29,181.6,187.69,176.15,21
GME,180.91,180.56,186.04,181.6,173.84,22
GME,180.55,183.77,185.0,186.04,178.76,23
GME,183.23,178.23,177.12,185.0,176.6601,24
GME,176.15,169.28,173.89,177.12,164.27,25
GME,170.6,164.87,167.22,173.89,164.51,26
GME,165.71,160.57,163.5899,167.22,158.87,27
GME,162.88,157.43,158.89,163.5899,155.06,28
GME,156.79,152.75,157.79,158.89,148.2,29
GME,153.25,146.98,157.6,157.79,145.691,30
GME,147.69,153.49,156.5,157.6,145.22,31
GME,154.59,151.75,164.71,156.5,150.31,32
GME,151.99,161.12,166.8999,164.71,150.66,33
GME,161.89,159.05,159.55,166.8999,155.352,34
GME,159.0,158.54,164.28,159.55,154.62,35
GME,159.5,162.09,163.5499,164.28,157.33,36
GME,161.29,162.53,169.8799,163.5499,157.4101,37
GME,161.97,163.83,169.48,169.8799,159.1601,38
GME,161.5,163.49,165.6,169.48,161.1,39
GME,164.05,157.05,157.9899,165.6,156.75,40
GME,156.94,152.8,160.09,157.9899,150.78,41
GME,153.8,159.365,167.29,160.09,153.24,42
GME,162.27,164.86,225.0,167.29,159.55,43
GME,166.59,210.65,227.0,225.0,165.15,44
GME,206.53,200.2,217.0,227.0,193.0,45
GME,200.3,205.2,212.9999,217.0,199.0,46
GME,207.8,204.48,218.19,212.9999,200.02,47
GME,205.02,209.2,222.3,218.19,203.02,48
GME,212.67,218.18,231.439,222.3,211.46,49
GME,223.8,212.85,214.8,231.439,208.02,50
GME,213.95,213.45,216.27,214.8,206.3,51
GME,212.05,202.75,209.9,216.27,198.84,52
GME,206.0,199.065,206.88,209.9,196.1,53
GME,201.86,198.55,202.0,206.88,190.6758,54
GME,180.2,199.01,202.16,202.0,178.0,55
GME,198.41,190.23,208.88,202.16,190.0,56
GME,193.78,203.3,204.62,208.88,191.5,57
GME,200.65,199.25,204.87,204.62,195.0,58
GME,198.0,204.87,216.55,204.87,193.751,59
GME,202.33,206.5,212.49,216.55,201.15,60
GME,207.17,205.19,202.8499,212.49,200.78,61
GME,198.83,192.57,199.36,202.8499,184.55,62
GME,196.78,190.0,193.5,199.36,186.0,63
GME,189.88,190.14,195.75,193.5,186.29,64
GME,192.33,191.5,191.7153,195.75,190.6,65
GME,191.06,185.16,192.05,191.7153,184.11,66
