Ticker,opening,closing,NextHigh,high,low,day
SRCE,49.78,50.17,50.25,50.3,49.68,1
SRCE,50.25,50.07,50.5,50.25,49.77,2
SRCE,50.25,50.49,51.015,50.5,49.98,3
SRCE,50.36,50.7,50.73,51.015,50.09,4
SRCE,50.51,49.9,50.5,50.73,49.77,5
SRCE,50.35,49.08,49.67,50.5,48.98,6
SRCE,49.67,49.13,49.309,49.67,48.93,7
SRCE,49.21,48.85,49.95,49.309,48.38,8
SRCE,49.05,49.43,50.0,49.95,48.88,9
SRCE,49.28,49.6,49.8,50.0,47.0,10
SRCE,49.8,48.05,47.48,49.8,47.89,11
SRCE,47.2,45.71,47.62,47.48,45.64,12
SRCE,46.25,47.23,47.58,47.62,46.25,13
SRCE,47.21,46.67,46.96,47.58,46.27,14
SRCE,46.96,46.51,47.2,46.96,46.38,15
SRCE,46.93,47.11,47.55,47.2,46.14,16
SRCE,47.31,45.93,46.58,47.55,45.29,17
SRCE,45.69,46.41,47.78,46.58,45.22,18
SRCE,46.8,46.03,46.81,47.78,45.85,19
SRCE,45.73,46.46,46.96,46.81,45.73,20
SRCE,46.92,46.53,46.815,46.96,46.39,21
SRCE,46.46,45.48,45.52,46.815,45.42,22
SRCE,45.52,44.28,44.61,45.52,43.83,23
SRCE,43.89,43.97,43.61,44.61,43.3,24
SRCE,43.25,43.03,44.44,43.61,42.61,25
SRCE,43.27,44.32,44.23,44.44,43.165,26
SRCE,43.85,44.13,44.1,44.23,43.67,27
SRCE,44.09,43.13,44.6,44.1,42.93,28
SRCE,43.74,43.6,44.16,44.6,43.06,29
SRCE,43.22,44.03,44.43,44.16,43.22,30
SRCE,44.43,43.34,42.64,44.43,43.21,31
SRCE,42.64,41.84,43.82,42.64,41.19,32
SRCE,42.11,42.74,43.58,43.82,42.11,33
SRCE,42.84,43.31,43.45,43.58,42.84,34
SRCE,42.91,42.11,43.0,43.45,41.835,35
SRCE,42.6,42.47,43.9,43.0,41.9942,36
SRCE,42.63,43.83,44.42,43.9,42.63,37
SRCE,43.24,44.26,44.96,44.42,42.67,38
SRCE,44.28,44.82,45.72,44.96,43.66,39
SRCE,45.18,45.18,45.89,45.72,44.94,40
SRCE,45.27,45.77,46.7958,45.89,44.96,41
SRCE,45.54,44.78,45.55,46.7958,44.46,42
SRCE,44.86,45.38,45.73,45.55,44.06,43
SRCE,44.81,44.9,46.17,45.73,44.14,44
SRCE,45.14,46.01,47.665,46.17,45.04,45
SRCE,46.52,47.15,47.14,47.665,46.08,46
SRCE,47.14,46.53,47.55,47.14,46.43,47
SRCE,46.66,47.32,47.95,47.55,46.55,48
SRCE,47.48,47.85,48.0,47.95,47.1,49
SRCE,48.0,47.37,47.61,48.0,47.33,50
SRCE,47.61,47.15,47.275,47.61,47.0,51
SRCE,46.81,46.89,47.0399,47.275,46.55,52
SRCE,46.65,46.52,46.57,47.0399,45.9113,53
SRCE,46.31,45.72,46.355,46.57,45.62,54
SRCE,45.68,45.48,46.77,46.355,45.21,55
SRCE,45.59,46.5,47.41,46.77,45.2,56
SRCE,46.9,46.64,46.97,47.41,46.32,57
SRCE,46.85,46.49,47.135,46.97,46.41,58
SRCE,46.76,46.48,46.67,47.135,46.39,59
SRCE,46.67,46.24,48.165,46.67,46.145,60
SRCE,47.0,47.62,47.54,48.165,46.055,61
SRCE,47.54,46.65,47.865,47.54,46.54,62
SRCE,46.82,47.07,47.39,47.865,46.555,63
SRCE,47.14,47.02,47.33,47.39,46.51,64
SRCE,47.0,47.04,47.24,47.33,46.76,65
SRCE,47.24,46.95,47.23,47.24,46.64,66
SRCE,47.1,46.72,46.8157,47.23,46.59,67
SRCE,46.43,46.1,46.61,46.8157,45.8,68
SRCE,45.99,46.09,47.285,46.61,45.37,69
SRCE,47.285,45.62,46.07,47.285,45.535,70
SRCE,45.75,45.71,45.885,46.07,45.1134,71
SRCE,45.86,45.21,45.875,45.885,44.735,72
SRCE,45.35,45.69,45.81,45.875,45.17,73
SRCE,45.81,45.07,45.86,45.81,44.93,74
SRCE,45.26,45.26,44.71,45.86,44.44,75
SRCE,44.45,44.21,44.44,44.71,43.58,76
SRCE,44.44,43.75,45.037,44.44,43.68,77
SRCE,44.06,44.59,46.29,45.037,44.06,78
SRCE,44.93,45.89,46.98,46.29,44.91,79
SRCE,45.9,46.58,48.63,46.98,45.9,80
SRCE,46.6,48.2,48.38,48.63,46.6,81
SRCE,48.38,47.52,48.44,48.38,46.81,82
SRCE,47.69,48.27,48.56,48.44,47.21,83
SRCE,48.56,47.29,48.61,48.56,46.9686,84
SRCE,47.16,48.34,49.0,48.61,47.16,85
SRCE,48.37,48.4,48.55,49.0,47.83,86
SRCE,48.4,48.28,48.14,48.55,47.75,87
SRCE,47.94,47.96,48.82,48.14,47.35,88
SRCE,48.35,48.72,49.12,48.82,47.96,89
FARO,74.88,73.79,75.43,74.88,73.49,1
FARO,74.6,75.38,77.045,75.43,73.7,2
FARO,75.68,76.86,79.54,77.045,75.5,3
FARO,77.2,78.87,79.81,79.54,77.2,4
FARO,79.21,78.12,78.14,79.81,78.07,5
FARO,78.03,76.52,77.25,78.14,76.52,6
FARO,76.99,76.735,77.93,77.25,76.53,7
FARO,77.13,77.17,77.47,77.93,76.93,8
FARO,77.15,76.33,76.84,77.47,76.0,9
FARO,76.39,76.37,77.54,76.84,75.47,10
FARO,74.415,77.38,78.41,77.54,74.415,11
FARO,76.88,76.64,77.49,78.41,75.54,12
FARO,76.87,76.55,77.39,77.49,75.58,13
FARO,76.55,76.74,78.79,77.39,75.5,14
FARO,76.96,77.04,78.89,78.79,76.7,15
FARO,77.8,78.89,79.77,78.89,76.14,16
FARO,79.0,79.4,79.53,79.77,78.47,17
FARO,79.38,78.515,78.72,79.53,77.91,18
FARO,78.31,77.88,80.08,78.72,77.34,19
FARO,80.08,77.7,79.12,80.08,76.38,20
FARO,77.87,78.94,79.48,79.12,77.33,21
FARO,79.48,78.16,78.5,79.48,77.796,22
FARO,78.5,77.67,78.48,78.5,76.5,23
FARO,77.88,77.27,77.885,78.48,76.61,24
FARO,75.69,77.61,79.55,77.885,75.29,25
