Ticker,opening,closing,NextHigh,high,low,day
PETQ,39.49,40.23,40.76,40.34,39.14,1
PETQ,40.0,39.23,40.3,40.76,39.12,2
PETQ,39.21,40.19,40.33,40.3,38.44,3
PETQ,40.19,40.0198,40.83,40.33,38.8412,4
PETQ,40.24,40.75,41.2,40.83,39.62,5
PETQ,40.8,41.06,41.165,41.2,40.24,6
PETQ,40.88,40.23,40.75,41.165,39.89,7
PETQ,40.49,40.31,40.75,40.75,40.0,8
PETQ,40.58,40.19,40.33,40.75,40.03,9
PETQ,40.09,40.08,40.33,40.33,39.34,10
PETQ,40.07,40.08,40.29,40.33,39.71,11
PETQ,40.29,38.58,38.89,40.29,38.56,12
PETQ,38.56,38.26,38.45,38.89,37.43,13
PETQ,38.3,37.82,38.05,38.45,37.675,14
PETQ,38.05,37.16,38.818,38.05,36.6,15
PETQ,37.5,37.12,37.82,38.818,36.91,16
PETQ,36.75,37.54,38.14,37.82,35.89,17
PETQ,37.53,37.99,39.08,38.14,37.25,18
PETQ,37.99,38.6,38.95,39.08,37.73,19
PETQ,38.61,38.48,39.04,38.95,38.38,20
PETQ,38.4,38.0,37.7745,39.04,37.67,21
PETQ,37.73,37.21,38.1499,37.7745,36.715,22
PETQ,37.45,36.29,36.22,38.1499,36.1,23
PETQ,35.85,35.84,36.81,36.22,35.28,24
PETQ,35.81,36.69,37.0,36.81,35.39,25
PETQ,36.69,36.49,36.6,37.0,36.26,26
PETQ,36.48,36.15,36.61,36.6,35.96,27
PETQ,36.41,36.55,36.97,36.61,35.53,28
PETQ,36.42,36.12,36.51,36.97,36.08,29
PETQ,36.15,35.94,36.9718,36.51,35.22,30
PETQ,36.4,35.84,36.45,36.9718,35.8,31
PETQ,35.89,35.38,35.74,36.45,35.38,32
PETQ,35.58,35.475,36.21,35.74,34.85,33
PETQ,35.61,35.72,36.0661,36.21,34.94,34
PETQ,35.87,35.25,35.8,36.0661,34.2112,35
PETQ,34.95,34.76,30.74,35.8,34.445,36
PETQ,30.0,30.2,30.75,30.74,28.31,37
PETQ,29.78,29.28,29.69,30.75,29.02,38
PETQ,29.11,28.79,29.36,29.69,28.45,39
PETQ,28.9,28.54,28.97,29.36,27.51,40
PETQ,28.86,27.6,28.05,28.97,27.39,41
PETQ,27.59,26.71,26.69,28.05,26.56,42
PETQ,26.53,26.12,26.46,26.69,25.79,43
PETQ,26.13,26.16,26.37,26.46,25.6,44
PETQ,26.03,25.49,25.83,26.37,25.47,45
PETQ,25.8,24.48,24.88,25.83,24.4,46
PETQ,24.15,23.99,25.31,24.88,23.76,47
PETQ,23.715,24.89,25.54,25.31,23.715,48
PETQ,25.44,24.21,25.17,25.54,23.685,49
PETQ,24.22,25.03,25.88,25.17,23.85,50
PETQ,25.16,25.34,25.42,25.88,24.63,51
PETQ,25.42,24.82,25.69,25.42,24.345,52
PETQ,24.83,25.4,25.775,25.69,24.7,53
PETQ,25.5,25.51,26.2,25.775,25.36,54
PETQ,25.47,25.92,26.65,26.2,25.4,55
PETQ,25.91,26.57,26.96,26.65,25.86,56
PETQ,26.55,26.77,27.0,26.96,26.15,57
PETQ,26.78,26.97,27.52,27.0,26.6088,58
PETQ,26.91,27.43,27.61,27.52,26.745,59
PETQ,27.19,27.34,27.68,27.61,27.09,60
PETQ,27.005,27.53,27.98,27.68,27.005,61
PETQ,27.54,27.86,28.58,27.98,27.2859,62
PETQ,27.84,28.29,28.47,28.58,27.41,63
PETQ,28.36,27.46,27.92,28.47,27.37,64
PETQ,27.46,26.12,26.0,27.92,25.9103,65
PETQ,25.74,25.19,25.7,26.0,24.86,66
PETQ,25.3,24.98,25.1089,25.7,24.9,67
PETQ,24.61,24.49,25.115,25.1089,24.0205,68
PETQ,24.52,24.81,25.06,25.115,24.35,69
PETQ,25.06,24.91,25.345,25.06,24.45,70
PETQ,24.91,25.22,25.22,25.345,24.91,71
PETQ,25.2,24.66,25.65,25.22,24.26,72
PETQ,24.59,25.51,25.61,25.65,24.45,73
PETQ,25.47,25.42,26.44,25.61,25.17,74
PETQ,25.43,26.25,26.705,26.44,25.43,75
PETQ,26.23,24.99,25.52,26.705,24.86,76
PETQ,25.11,25.48,25.62,25.52,24.93,77
PETQ,25.43,25.03,25.08,25.62,24.62,78
PETQ,25.02,24.18,24.07,25.08,24.17,79
PETQ,24.03,23.68,24.97,24.07,23.52,80
PETQ,23.78,24.76,25.24,24.97,23.6,81
PETQ,24.82,25.24,25.42,25.24,24.61,82
PETQ,25.33,24.77,25.45,25.42,24.67,83
PETQ,24.68,25.02,25.305,25.45,24.56,84
PETQ,25.05,25.11,26.05,25.305,24.89,85
PETQ,25.3,25.4,25.92,26.05,25.3,86
PETQ,25.68,25.42,25.46,25.92,25.24,87
PETQ,25.35,24.9,25.02,25.46,24.78,88
PETQ,25.0,24.63,25.38,25.02,24.41,89
AIC,25.29,25.286,25.62,25.29,25.286,1
AIC,25.3,25.615,25.6,25.62,25.2787,2
AIC,25.5993,25.6,25.325,25.6,25.544,3
AIC,25.08,25.17,25.29,25.325,25.05,4
AIC,25.16,25.2,25.25,25.29,25.16,5
AIC,25.22,25.25,25.2567,25.25,25.15,6
AIC,25.26,25.2567,25.35,25.2567,25.25,7
AIC,25.15,25.35,25.3808,25.35,25.15,8
AIC,25.25,25.37,25.3,25.3808,25.24,9
AIC,25.3,25.3,25.4,25.3,25.3,10
AIC,25.35,25.4,25.35,25.4,25.3,11
AIC,25.1723,25.3275,25.35,25.35,25.1723,12
AIC,25.25,25.35,25.35,25.35,25.25,13
AIC,25.3158,25.25,25.25,25.35,25.25,14
AIC,25.2,25.2,25.25,25.25,25.2,15
AIC,25.25,25.2413,25.3999,25.25,25.23,16
AIC,25.2759,25.39,25.4499,25.3999,25.2759,17
AIC,25.3901,25.39,25.365,25.4499,25.39,18
AIC,25.365,25.365,25.26,25.365,25.365,19
AIC,25.26,25.26,25.26,25.26,25.26,20
AIC,25.26,25.26,25.465,25.26,25.26,21
AIC,25.43,25.465,25.34,25.465,25.4299,22
AIC,25.3,25.32,25.405,25.34,25.3,23
AIC,25.34,25.31,25.27,25.405,25.3,24
AIC,25.23,25.27,25.436,25.27,25.23,25
AIC,25.34,25.3201,25.439,25.436,25.32,26
AIC,25.4,25.439,25.4736,25.439,25.32,27
AIC,25.364,25.33,25.49,25.4736,25.33,28
AIC,25.3262,25.49,25.35,25.49,25.3262,29
AIC,25.35,25.35,25.42,25.35,25.3,30
AIC,25.38,25.37,25.36,25.42,25.35,31
AIC,25.3,25.31,25.37,25.36,25.3,32
AIC,25.36,25.36,25.37,25.37,25.35,33
AIC,25.36,25.37,25.392,25.37,25.36,34
AIC,25.39,25.392,25.3701,25.392,25.37,35
AIC,25.37,25.33,25.39,25.3701,25.33,36
AIC,25.39,25.39,25.39,25.39,25.39,37
AIC,25.39,25.39,25.39,25.39,25.39,38
AIC,25.39,25.3,25.39,25.39,25.3,39
AIC,25.349,25.39,25.415,25.39,25.349,40
AIC,25.409,25.415,25.43,25.415,25.4,41
AIC,25.43,25.43,25.46,25.43,25.43,42
AIC,25.45,25.45,25.5,25.46,25.45,43
AIC,25.5,25.5,25.6299,25.5,25.5,44
AIC,25.52,25.6299,26.0,25.6299,25.52,45
AIC,25.62,25.74,25.625,26.0,25.62,46
AIC,25.625,25.56,25.51,25.625,25.545,47
AIC,25.51,25.51,25.5,25.51,25.51,48
AIC,25.5,25.45,25.49,25.5,25.4,49
AIC,25.4879,25.4595,25.6799,25.49,25.4595,50
AIC,25.46,25.6,25.65,25.6799,25.46,51
AIC,25.615,25.6499,25.65,25.65,25.5501,52
AIC,25.55,25.55,25.6,25.65,25.55,53
AIC,25.6,25.5512,25.73,25.6,25.55,54
AIC,25.68,25.73,25.68,25.73,25.55,55
AIC,25.665,25.6,25.5838,25.68,25.6,56
AIC,25.52,25.5838,25.7,25.5838,25.52,57
AIC,25.51,25.7,25.633,25.7,25.51,58
AIC,25.3,25.5638,25.595,25.633,25.3,59
AIC,25.595,25.3401,25.5,25.595,25.3,60
AIC,25.34,25.32,25.4,25.5,25.32,61
AIC,25.4,25.375,25.4,25.4,25.375,62
AIC,25.4,25.3656,25.3714,25.4,25.3656,63
AIC,25.3714,25.3,25.3015,25.3714,25.3,64
AIC,25.3,25.07,25.33,25.3015,25.07,65
AIC,25.33,25.23,25.28,25.33,25.23,66
AIC,25.28,25.2,25.28,25.28,25.2,67
AIC,25.2,25.22,25.28,25.28,25.1501,68
AIC,25.28,25.2,25.24,25.28,25.2,69
AIC,25.21,25.24,25.24,25.24,25.2,70
AIC,25.24,25.2,25.2,25.24,25.2,71
AIC,25.2,25.1501,25.16,25.2,25.1,72
AIC,25.16,25.12,25.13,25.16,25.12,73
AIC,25.15,25.13,25.22,25.13,25.13,74
AIC,25.22,25.22,25.265,25.22,25.22,75
AIC,25.22,25.25,25.25,25.265,25.22,76
AIC,25.22,25.16,25.28,25.25,25.16,77
AIC,25.16,25.28,25.25,25.28,25.16,78
AIC,25.25,25.205,25.25,25.25,25.205,79
AIC,25.25,25.2,25.17,25.25,25.2,80
AIC,25.17,25.12,25.25,25.17,25.12,81
AIC,25.25,25.25,25.28,25.25,25.25,82
AIC,25.27,25.28,25.296,25.28,25.27,83
AIC,25.274,25.296,25.3,25.296,25.2626,84
AIC,25.29,25.2955,25.2768,25.3,25.29,85
AIC,25.2768,25.25,25.38,25.2768,25.25,86
AIC,25.223,25.3259,25.33,25.38,25.19,87
AIC,25.3,25.33,25.29,25.33,25.3,88
AIC,25.29,25.2,25.31,25.29,25.2,89
WISH,11.75,11.2999,11.34,12.54,10.79,1
WISH,11.02,11.07,11.5,11.34,10.36,2
WISH,11.17,11.21,12.1,11.5,10.7534,3
WISH,11.0,11.4,13.96,12.1,10.85,4
WISH,12.01,13.5,14.43,13.96,11.51,5
WISH,13.48,13.5,14.28,14.43,12.92,6
WISH,13.8,13.61,14.41,14.28,13.12,7
WISH,13.56,14.3901,14.69,14.41,12.61,8
WISH,14.17,14.03,15.18,14.69,13.7,9
WISH,14.03,14.381,14.29,15.18,13.8,10
WISH,14.24,13.4082,13.69,14.29,13.27,11
WISH,13.22,13.17,13.0899,13.69,12.81,12
WISH,13.03,12.25,12.39,13.0899,11.95,13
WISH,11.98,11.655,12.6,12.39,11.44,14
WISH,12.32,11.883,11.91,12.6,11.75,15
WISH,11.85,10.95,11.225,11.91,10.75,16
WISH,10.46,10.99,11.22,11.225,10.25,17
WISH,11.05,11.1369,11.37,11.22,10.77,18
WISH,11.16,10.92,11.155,11.37,10.78,19
WISH,10.7,10.4,10.57,11.155,10.35,20
WISH,10.37,9.79,10.37,10.57,9.74,21
WISH,9.6,10.075,10.18,10.37,9.46,22
WISH,10.18,9.265,9.66,10.18,9.16,23
WISH,8.99,9.44,10.21,9.66,8.835,24
WISH,9.53,10.13,10.335,10.21,9.28,25
WISH,9.78,9.9899,10.07,10.335,9.67,26
WISH,9.92,9.51,9.62,10.07,9.45,27
WISH,9.36,9.1923,9.45,9.62,9.17,28
WISH,9.11,9.1582,9.56,9.45,9.07,29
WISH,9.09,9.33,10.13,9.56,8.81,30
WISH,9.4,9.93,10.68,10.13,9.38,31
WISH,9.94,9.97,10.27,10.68,9.62,32
WISH,9.8,9.94,10.6,10.27,9.73,33
WISH,10.02,10.41,10.5027,10.6,9.94,34
WISH,10.37,10.315,10.31,10.5027,10.15,35
WISH,10.3,9.605,10.02,10.31,9.59,36
WISH,9.66,9.98,10.15,10.02,9.47,37
WISH,9.94,9.83,10.605,10.15,9.755,38
WISH,9.95,10.46,10.69,10.605,9.89,39
WISH,10.49,10.2999,10.415,10.69,10.07,40
WISH,10.4,9.82,10.0079,10.415,9.67,41
WISH,9.96,9.4,7.86,10.0079,9.34,42
WISH,6.96,7.55,7.31,7.86,6.69,43
WISH,7.29,6.865,7.31,7.31,6.72,44
WISH,6.69,6.98,7.07,7.31,6.57,45
WISH,6.96,6.82,6.82,7.07,6.75,46
WISH,6.74,6.24,6.92,6.82,6.1442,47
WISH,6.28,6.64,6.81,6.92,6.2326,48
WISH,6.59,6.69,7.425,6.81,6.42,49
WISH,6.75,7.1255,7.2,7.425,6.63,50
WISH,7.06,6.97,7.04,7.2,6.86,51
WISH,6.93,6.665,7.17,7.04,6.66,52
WISH,6.69,6.94,7.4743,7.17,6.68,53
WISH,7.1,7.1937,7.37,7.4743,6.86,54
WISH,7.16,7.2,7.75,7.37,7.08,55
WISH,7.19,7.38,7.565,7.75,7.12,56
WISH,7.42,7.32,7.48,7.565,7.29,57
WISH,7.32,7.24,7.67,7.48,7.135,58
WISH,7.28,7.38,7.35,7.67,7.28,59
WISH,7.38,6.8472,7.29,7.35,6.82,60
WISH,6.87,6.99,7.26,7.29,6.75,61
WISH,7.03,6.8,6.86,7.26,6.78,62
WISH,6.84,6.61,6.68,6.86,6.48,63
WISH,6.61,6.34,6.5,6.68,6.27,64
WISH,6.3,6.41,6.4727,6.5,6.18,65
WISH,6.34,6.32,6.6399,6.4727,6.273,66
WISH,6.31,6.535,6.44,6.6399,6.3,67
WISH,6.29,6.085,6.25,6.44,5.91,68
WISH,6.1,5.8501,6.03,6.25,5.82,69
WISH,5.9269,5.9095,6.3,6.03,5.84,70
WISH,5.97,6.14,6.2784,6.3,5.84,71
WISH,6.12,6.0268,6.25,6.2784,5.93,72
WISH,6.07,6.18,6.16,6.25,5.9397,73
WISH,6.1,5.795,5.945,6.16,5.72,74
WISH,5.85,5.5872,5.6337,5.945,5.56,75
WISH,5.61,5.4562,5.53,5.6337,5.43,76
WISH,5.52,5.36,5.2,5.53,5.26,77
WISH,5.13,4.8473,5.05,5.2,4.81,78
WISH,4.84,4.7779,5.02,5.05,4.75,79
WISH,4.69,4.905,5.365,5.02,4.61,80
WISH,5.0,5.18,5.29,5.365,4.95,81
WISH,5.22,5.0079,5.26,5.29,4.98,82
WISH,5.01,4.915,5.14,5.26,4.88,83
WISH,4.94,5.0793,5.27,5.14,4.92,84
WISH,5.1,5.175,5.3,5.27,5.02,85
WISH,5.24,5.155,5.25,5.3,5.1,86
WISH,5.2,5.0399,5.09,5.25,5.03,87
WISH,5.0,5.01,5.55,5.09,4.92,88
WISH,5.04,5.34,6.31,5.55,4.99,89
IGOV,53.36,53.37,53.37,53.37,53.2635,1
IGOV,53.26,52.83,52.639,53.37,52.7701,2
IGOV,52.56,52.39,52.43,52.639,52.38,3
IGOV,52.29,52.25,52.51,52.43,52.23,4
IGOV,52.51,52.45,52.57,52.51,52.35,5
IGOV,52.57,52.55,52.6373,52.57,52.33,6
IGOV,52.59,52.41,52.64,52.6373,52.41,7
IGOV,52.55,52.61,52.67,52.64,52.4563,8
IGOV,52.67,52.5,52.59,52.67,52.386,9
IGOV,52.46,52.43,52.3999,52.59,52.382,10
IGOV,52.39,52.32,52.41,52.3999,52.25,11
IGOV,52.4,52.27,52.358,52.41,52.2201,12
IGOV,52.29,52.17,52.5,52.358,52.15,13
IGOV,52.35,52.48,52.498,52.5,52.19,14
IGOV,52.38,52.39,52.52,52.498,52.33,15
IGOV,52.45,52.44,52.755,52.52,52.371,16
IGOV,52.67,52.61,52.76,52.755,52.571,17
IGOV,52.67,52.64,52.71,52.76,52.54,18
IGOV,52.71,52.64,52.55,52.71,52.58,19
IGOV,52.49,52.31,52.66,52.55,52.25,20
IGOV,52.56,52.64,52.65,52.66,52.49,21
IGOV,52.64,52.64,52.629,52.65,52.56,22
IGOV,52.53,52.55,52.7701,52.629,52.53,23
IGOV,52.72,52.625,52.64,52.7701,52.595,24
IGOV,52.62,52.63,52.68,52.64,52.47,25
IGOV,52.46,52.645,52.83,52.68,52.46,26
IGOV,52.76,52.7499,52.745,52.83,52.65,27
IGOV,52.58,52.67,52.89,52.745,52.53,28
IGOV,52.73,52.83,53.04,52.89,52.73,29
IGOV,52.93,52.96,53.11,53.04,52.85,30
IGOV,52.82,53.11,53.3194,53.11,52.78,31
IGOV,53.22,53.29,53.247,53.3194,53.111,32
IGOV,53.2,53.2,53.4,53.247,53.14,33
IGOV,53.29,53.35,53.45,53.4,53.29,34
IGOV,53.44,53.44,53.6173,53.45,53.34,35
IGOV,53.6,53.36,53.4,53.6173,53.25,36
IGOV,53.4,53.34,53.04,53.4,53.3,37
IGOV,53.0,52.88,52.99,53.04,52.82,38
IGOV,52.88,52.78,52.84,52.99,52.76,39
IGOV,52.8,52.75,52.8804,52.84,52.71,40
IGOV,52.81,52.86,52.79,52.8804,52.7337,41
IGOV,52.75,52.76,53.12,52.79,52.67,42
IGOV,52.9,53.1,53.11,53.12,52.812,43
IGOV,53.04,53.02,52.8729,53.11,52.925,44
IGOV,52.86,52.77,52.8199,52.8729,52.7101,45
IGOV,52.77,52.73,52.69,52.8199,52.6305,46
IGOV,52.65,52.59,52.65,52.69,52.5435,47
IGOV,52.6,52.63,52.8799,52.65,52.505,48
IGOV,52.74,52.83,52.92,52.8799,52.7,49
IGOV,52.8976,52.9,52.74,52.92,52.8291,50
IGOV,52.71,52.74,52.62,52.74,52.63,51
IGOV,52.62,52.6,52.8845,52.62,52.535,52
IGOV,52.55,52.85,52.95,52.8845,52.5,53
IGOV,52.83,52.93,52.929,52.95,52.81,54
IGOV,52.9,52.73,52.89,52.929,52.7,55
IGOV,52.77,52.87,53.06,52.89,52.77,56
IGOV,52.97,53.04,53.08,53.06,52.88,57
IGOV,53.04,53.015,52.74,53.08,52.93,58
IGOV,52.74,52.61,52.64,52.74,52.59,59
IGOV,52.61,52.63,52.92,52.64,52.51,60
IGOV,52.74,52.88,52.82,52.92,52.702,61
IGOV,52.8,52.67,52.7599,52.82,52.6201,62
IGOV,52.65,52.68,52.84,52.7599,52.62,63
IGOV,52.84,52.76,52.81,52.84,52.715,64
IGOV,52.81,52.749,52.48,52.81,52.65,65
IGOV,52.43,52.45,52.34,52.48,52.39,66
IGOV,52.34,52.17,52.305,52.34,52.17,67
IGOV,52.22,52.305,52.38,52.305,52.22,68
IGOV,52.36,52.31,52.489,52.38,52.25,69
IGOV,52.31,52.26,52.32,52.489,52.1601,70
IGOV,52.31,52.16,51.98,52.32,52.14,71
IGOV,51.91,51.88,51.84,51.98,51.855,72
IGOV,51.78,51.77,51.54,51.84,51.69,73
IGOV,51.54,51.49,51.458,51.54,51.38,74
IGOV,51.43,51.15,51.31,51.458,51.13,75
IGOV,51.18,51.27,51.515,51.31,51.12,76
IGOV,51.34,51.46,51.57,51.515,51.34,77
IGOV,51.53,51.55,51.45,51.57,51.36,78
IGOV,51.45,51.32,51.2,51.45,51.23,79
IGOV,51.09,51.19,51.28,51.2,51.08,80
