Ticker,openingY,closingY,highY,lowY,high
SRCE,48.35,48.72,48.82,47.96,49.12
FARO,66.93,68.44,70.0,66.93,69.023
HLT,140.86,141.11,143.31,140.13,142.5
KRNY,13.06,13.1,13.165,12.955,13.25
DSPG,21.9,21.84,21.9,21.83,21.88
AMG,153.87,153.18,155.9,152.84,154.99
UTZ,16.08,16.25,16.63,16.06,16.41
CWCO,11.52,11.51,11.7499,11.43,11.96
STC,65.47,66.39,66.87,65.47,67.06
NVR,4816.03,4876.86,4895.08,4805.38,4887.695
BRSP,9.82,9.8,9.96,9.7721,9.91
NVT,32.22,32.37,32.9,32.09,32.64
CVLY,22.76,22.8,22.98,22.59,22.98
NODK,19.0,19.11,19.11,19.0,19.0621
DX,17.53,17.55,17.655,17.53,17.66
GSBC,56.64,56.67,57.01,56.23,57.49
VEC,51.36,50.11,51.36,50.05,50.58
DIOD,89.07,88.53,89.7,87.94,89.02
MTB,153.74,153.7,155.02,152.745,155.26
MRVL,65.03,65.17,67.19,64.51,65.6
ESI,23.11,23.02,23.405,22.925,23.24
MOH,273.7,277.12,279.82,272.17,280.84
NP,47.91,48.58,48.81,47.91,49.42
AROW,35.37,35.57,35.89,35.0766,36.15
CFR,121.59,122.03,123.05,121.55,123.48
CIB,34.71,35.31,35.5225,34.71,35.64
SJI,22.39,22.64,22.81,22.2901,22.77
MPV,13.7899,13.79,13.81,13.63,13.81
CNO,25.43,25.55,25.89,25.43,26.17
EC,14.84,15.17,15.3,14.84,15.545
LKQ,50.37,51.95,51.97,50.37,52.99
LKFN,73.21,74.76,74.87,73.21,75.2
MTRN,70.3,71.17,72.26,70.3,71.48
AES,23.505,24.09,24.34,23.425,24.46
SUN,38.29,38.1,38.5,38.0,38.98
FOX,38.71,38.85,39.24,38.52,39.87
CBT,51.52,52.34,52.98,51.3,52.48
WILC,20.35,20.33,20.495,20.25,20.9899
IPGP,156.64,158.245,159.835,156.485,159.87
HCI,128.38,131.92,135.06,128.38,135.0
CPAC,5.3,5.56,5.69,5.3,5.7199
OC,88.8,90.05,91.42,88.8,90.29
AMAT,128.71,127.91,129.95,127.46,128.785
SLAB,137.28,139.01,140.77,137.28,140.24
FRT,122.59,121.7,123.25,121.13,122.75
CMP,66.54,67.18,67.54,66.08,67.51
MMP,45.91,46.34,46.39,45.75,47.32
EBMT,22.286,22.43,22.43,22.25,22.35
NXPI,193.51,193.84,197.37,193.51,194.67
UMH,23.23,23.11,23.44,23.05,23.11
LMST,18.13,18.475,18.475,17.9101,18.47
FIBK,42.67,42.25,43.175,41.885,42.89
PSTL,18.3,18.52,18.81,18.1,18.72
WAFD,35.07,35.21,35.37,34.85,35.4
GBNH,7.25,7.36,7.41,7.03,7.64
SYBT,61.44,61.99,62.3336,61.44,61.7
NNN,45.07,44.6,45.37,44.49,44.96
ABMD,339.05,340.57,344.04,338.82,343.5791
VST,17.61,17.95,18.0866,17.5,18.33
NBTX,11.4,12.0,12.55,11.4,12.7
AEM,53.16,53.78,54.09,53.03,55.28
TFC,60.65,60.53,61.04,60.255,61.14
MC,67.89,67.7,68.63,67.42,68.8
SF,71.53,72.52,73.19,71.5,73.62
DBX,28.39,28.97,29.225,28.39,29.17
BANX,22.08,22.25,22.25,22.07,22.28
NTCT,27.54,27.62,28.15,27.52,27.88
EMCF,26.6399,26.5432,26.6399,26.3,26.5
VALN,28.79,28.8,29.2139,28.404,29.4261
KBR,42.0,41.82,42.33,41.6,42.48
ENTG,122.0,121.76,123.025,121.2,122.25
VEEV,284.07,288.12,290.6,283.635,289.65
MCAFR,0.382,0.382,0.382,0.382,0.43
SPXC,57.56,58.45,58.59,57.38,58.92
MKTX,414.68,419.58,425.56,414.68,418.6
SPSC,162.7,163.29,165.03,162.15,163.41
HUBG,71.98,71.32,72.41,71.18,71.635
CPZ,21.0,20.6413,21.0,20.5,20.8001
KLAC,333.49,330.11,336.17,329.32,332.37
HLF,42.76,43.31,43.81,42.76,43.55
NLSN,19.38,19.46,19.63,19.28,19.745
ENS,75.36,75.98,76.77,75.36,77.27
FICO,403.16,406.57,415.15,403.16,411.42
HUN,31.74,31.48,31.98,31.4,32.09
CTO,54.28,53.98,55.0,53.8,54.09
ONB,17.4,17.4,17.49,17.28,17.49
FYBR,27.74,29.09,29.22,27.74,29.16
COHR,249.31,252.21,253.59,249.31,253.11
BPRN,30.36,30.18,30.36,30.18,30.34
RGP,17.99,19.23,19.44,17.61,19.03
TRST,33.06,33.34,33.44,33.06,33.5
PXI,32.38,33.01,33.16,32.14,34.0
NVMI,100.6,98.98,100.6,98.63,99.52
LAZ,48.65,48.79,49.9,48.65,49.36
IMKTA,68.16,67.83,68.27,66.7,68.75
ASR,190.5,189.19,192.59,188.13,194.98
FSK,22.95,22.8,23.2,22.79,22.92
CVBF,20.35,20.25,20.49,20.215,20.4
JSM,24.73,24.81,25.18,24.68,24.8999
AB,50.5,50.2,51.0243,50.1832,51.36
BEN,30.87,30.53,31.04,30.48,30.47
NUE,98.47,98.95,100.82,97.9101,100.12
KAI,208.0,205.75,208.8,204.94,207.63
MIC,40.7,40.71,40.845,40.583,3.71
BRKR,77.34,77.88,78.97,77.34,78.36
MMI,43.56,43.86,44.45,43.48,43.95
KFY,77.12,77.185,77.93,76.565,77.22
FFNW,16.55,16.55,16.57,16.55,16.65
HPP,27.27,27.05,27.41,26.92,27.25
HIG,73.13,72.42,73.98,72.39,73.12
ASGN,118.0,122.34,122.47,117.99,125.35
GOGL,11.02,10.65,11.07,10.641,10.53
QRVO,166.96,165.32,169.49,164.76,166.99
FUSB,10.8,10.8702,11.0,10.8,10.8
NJR,36.99,37.15,37.24,36.84,37.38
DOW,57.89,58.51,59.47,57.79,59.29
AAON,68.07,69.85,69.95,68.07,70.05
ZNGA,7.32,7.49,7.615,7.3,7.53
AFG,135.16,136.57,137.37,134.53,137.3
LEA,160.31,164.98,166.91,159.575,170.22
WMB,27.12,27.64,27.715,27.03,28.35
FTNT,304.63,309.59,313.24,304.015,312.2371
FPL,5.64,5.73,5.79,5.64,5.8
TKR,67.65,68.55,69.41,67.65,69.315
SRLP,21.1,21.28,21.61,20.95,21.5199
CNNE,31.46,31.38,31.955,31.325,31.59
BHE,27.05,27.07,27.36,26.915,27.15
BFAM,155.11,157.04,157.17,154.63,157.75
WVVI,12.88,12.82,12.88,12.8,12.9499
RXN,64.14,64.38,65.115,63.15,65.53
ACC,50.96,50.48,51.13,50.29,50.43
WDAY,258.35,257.98,262.2,257.585,259.47
TBI,29.06,30.48,30.5,29.06,31.51
HCA,240.35,242.27,243.58,240.04,244.15
KMX,130.26,131.39,132.8,129.34,132.4
ENR,39.54,39.27,40.0734,39.23,39.55
CVA,20.11,20.09,20.125,20.08,20.18
CTS,31.57,31.79,32.11,31.57,32.28
DTM,48.11,49.04,49.82,48.11,49.57
CRUS,79.9,81.43,82.34,79.9,82.15
TRTN,54.23,53.59,54.6,53.47,53.885
FCFS,86.4,86.66,87.445,85.68,87.94
SAFM,187.3,189.0,189.0,187.01,189.255
PEGA,125.05,126.29,128.2,125.05,127.26
FMNB,16.73,16.74,16.8,16.58,16.91
PKE,13.92,13.96,14.1901,13.7275,14.0
AVT,37.58,36.39,37.58,36.29,37.09
GOOD,21.69,21.51,21.77,21.48,21.52
SAL,51.96,51.8684,51.96,51.8684,51.92
PLBC,33.0,33.3796,33.5,33.0,34.9
QIWI,8.6,8.61,8.73,8.59,8.82
SBSI,39.48,39.05,39.48,38.985,39.14
SSBI,19.54,19.16,19.6564,19.11,19.14
VPG,35.24,35.45,35.645,35.24,35.56
LSXMA,48.61,48.68,49.37,48.52,48.87
SMM,6.45,6.6,6.63,6.45,6.67
PFLT,13.16,13.08,13.24,13.06,13.3
PDM,18.22,18.01,18.37,17.975,18.395
ATC,23.84,23.92,23.95,23.82,23.89
CRVL,171.31,178.21,180.44,171.31,178.3
PTNR,4.48,4.48,4.56,4.48,4.7
TCBS,15.42,15.5129,15.6,15.35,15.9046
MRTN,15.5,15.3,15.58,15.28,15.565
HIVE,3.04,2.95,3.06,2.92,3.0299
WHR,203.77,204.89,208.78,203.75,206.0
WFC,48.18,47.77,48.59,47.54,48.34
AGCO,126.44,127.91,128.31,126.039,129.31
JHG,44.05,45.43,46.27,44.0307,45.53
BBWI,63.43,63.76,64.67,62.88,64.02
