Ticker,opening,closing,NextHigh,high,low
TAC,5.9,5.85,5.95,5.9,5.8
TAC,5.85,5.95,6.0,5.95,5.85
TAC,5.85,6.0,6.15,6.0,5.85
TAC,5.9,6.1,6.1,6.15,5.9
TAC,6.0,6.1,6.1,6.1,6.0
TAC,6.0,6.075,6.05,6.1,6.0
TAC,6.0,5.85,5.9,6.05,5.8
TAC,5.8,5.85,5.85,5.9,5.75
TAC,5.85,5.75,5.85,5.85,5.7
TAC,5.7,5.825,5.85,5.85,5.66
TAC,5.8,5.85,5.85,5.85,5.75
TAC,5.75,5.8,5.9,5.85,5.75
TAC,5.8,5.85,5.95,5.9,5.775
TAC,5.9,5.95,6.0,5.95,5.85
TAC,5.85,5.95,5.95,6.0,5.85
TAC,5.9,5.85,6.069,5.95,5.85
TAC,5.85,6.05,6.1,6.069,5.85
TAC,6.0,5.95,6.05,6.1,5.95
TAC,6.05,6.0,6.095,6.05,5.9
TAC,6.0,6.05,6.15,6.095,5.975
TAC,6.1,6.05,6.14,6.15,6.0
TAC,6.05,6.0,6.3731,6.14,5.9218
TAC,6.0,6.25,6.25,6.3731,5.9115
TAC,6.1252,6.25,6.25,6.25,6.04
TAC,6.25,6.05,6.15,6.25,6.05
TAC,6.1,6.0,6.0,6.15,5.9
TAC,5.95,5.95,5.9,6.0,5.85
TAC,5.85,5.8,5.9,5.9,5.75
TAC,5.85,5.85,5.8776,5.9,5.8
TAC,5.8,5.75,5.85,5.8776,5.725
TAC,5.7,5.8,5.85,5.85,5.7
TAC,5.75,5.75,5.8,5.85,5.75
TAC,5.8,5.75,5.85,5.8,5.7
TAC,5.75,5.8,5.8,5.85,5.75
TAC,5.8,5.75,5.75,5.8,5.7
TAC,5.7,5.6,5.85,5.75,5.41
TAC,5.75,5.8,5.9,5.85,5.725
TAC,5.75,5.9,5.95,5.9,5.75
TAC,5.8,5.95,6.0,5.95,5.8
TAC,5.9,5.95,5.95,6.0,5.85
TAC,5.85,5.9,5.95,5.95,5.85
TAC,5.95,5.875,5.95,5.95,5.805
TAC,5.85,5.9,5.9,5.95,5.85
TAC,5.85,5.85,5.85,5.9,5.85
TAC,5.8,5.8,5.825,5.85,5.8
TAC,5.8,5.75,5.75,5.825,5.7222
TAC,5.75,5.65,5.7,5.75,5.65
TAC,5.65,5.675,5.85,5.7,5.65
TAC,5.75,5.8,5.8,5.85,5.75
TAC,5.8,5.7,5.75,5.8,5.65
TAC,5.75,5.625,5.7,5.75,5.6
TAC,5.6,5.65,5.7,5.7,5.6
TAC,5.65,5.625,5.7,5.7,5.61
TAC,5.65,5.675,5.7,5.7,5.6
TAC,5.7,5.65,5.7,5.7,5.61
TAC,5.7,5.65,5.65,5.7,5.575
TAC,5.6,5.55,5.6,5.65,5.55
TAC,5.5,5.55,5.55,5.6,5.5
TAC,5.5,5.45,5.55,5.55,5.45
TAC,5.45,5.5,5.5,5.55,5.405
TAC,5.45,5.4,5.4,5.5,5.35
TAC,5.4,5.375,5.35,5.4,5.195
TAC,5.35,5.275,5.2,5.35,5.2
TAC,5.2,5.1,5.26,5.2,5.01
TAC,5.2,5.25,5.25,5.26,5.1
TAC,5.25,5.25,5.25,5.25,5.167
TAC,5.2,5.15,5.3,5.25,5.125
TAC,5.15,5.3,5.25,5.3,5.15
TAC,5.2,5.225,5.25,5.25,5.15
TAC,5.15,5.2,5.25,5.25,5.0
TAC,5.2,5.25,5.3,5.25,5.1
TAC,5.3,5.2,5.225,5.3,5.15
TAC,5.15,5.15,5.3,5.225,5.15
TAC,5.15,5.2,5.29,5.3,5.125
TAC,5.2,5.25,5.3,5.29,5.2
TAC,5.25,5.3,5.35,5.3,5.25
TAC,5.35,5.3,5.3,5.35,5.25
TAC,5.3,5.25,5.64,5.3,5.1781
TAC,5.3,5.6,5.65,5.64,5.3
TAC,5.5,5.55,5.8,5.65,5.45
TAC,5.55,5.8,5.85,5.8,5.45
TAC,5.75,5.75,5.8,5.85,5.6
TAC,5.8,5.65,5.64,5.8,5.6119
TAC,5.6,5.6,5.75,5.64,5.55
TAC,5.6,5.65,5.75,5.75,5.6
TAC,5.65,5.75,5.79,5.75,5.65
TAC,5.7,5.675,5.7,5.79,5.65
TAC,5.65,5.65,5.8,5.7,5.605
TAC,5.65,5.775,5.8,5.8,5.6
TAC,5.8,5.7,5.7,5.8,5.65
TAC,5.7,5.5,5.55,5.7,5.46
TAC,5.45,5.55,5.55,5.55,5.45
TAC,5.5,5.5,5.7,5.55,5.4
TAC,5.6,5.7,5.65,5.7,5.55
TAC,5.65,5.5,5.6,5.65,5.5
TAC,5.5,5.45,5.55,5.6,5.45
TAC,5.55,5.5,5.5,5.55,5.4
TAC,5.45,5.4,5.45,5.5,5.4
TAC,5.4,5.4,5.45,5.45,5.3
TAC,5.35,5.45,5.45,5.45,5.35
TAC,5.4,5.35,5.45,5.45,5.3
TAC,5.35,5.4,5.4,5.45,5.35
TAC,5.4,5.4,5.45,5.4,5.3
TAC,5.4,5.4,5.425,5.45,5.35
TAC,5.35,5.4,5.45,5.425,5.35
TAC,5.4,5.375,5.45,5.45,5.36
TAC,5.4,5.45,5.5,5.45,5.4
TAC,5.4,5.475,5.5,5.5,5.4
TAC,5.5,5.45,5.45,5.5,5.375
TAC,5.45,5.375,5.475,5.45,5.35
TAC,5.35,5.475,5.5,5.475,5.35
TAC,5.45,5.5,5.55,5.5,5.4
TAC,5.4,5.475,5.5,5.55,5.4
TAC,5.45,5.45,5.4,5.5,5.375
TAC,5.4,5.25,5.35,5.4,5.25
TAC,5.3,5.3,5.3,5.35,5.2
TAC,5.3,5.25,5.3,5.3,5.2
TAC,5.25,5.25,5.35,5.3,5.2
TAC,5.2,5.3,5.35,5.35,5.2
TAC,5.3,5.35,5.325,5.35,5.3
TAC,5.3,5.275,5.3,5.325,5.25
TAC,5.25,5.25,5.325,5.3,5.2
TAC,5.25,5.3,5.4,5.325,5.2
TAC,5.3,5.35,5.45,5.4,5.3
TAC,5.35,5.45,5.4,5.45,5.35
TAC,5.3,5.35,5.3875,5.4,5.3
TAC,5.3,5.225,5.25,5.3875,5.025
TAC,5.15,5.2,5.2752,5.25,5.15
TAC,5.15,5.25,5.25,5.2752,5.15
TAC,5.2,5.2,5.3,5.25,5.15
TAC,5.25,5.25,5.325,5.3,5.2204
TAC,5.25,5.3,5.35,5.325,5.15
TAC,5.25,5.275,5.3,5.35,5.2
TAC,5.25,5.225,5.245,5.3,5.2
TAC,5.15,5.2,5.3,5.245,5.15
TAC,5.3,5.15,5.3,5.3,5.15
TAC,5.2,5.25,5.25,5.3,5.2
TAC,5.25,5.225,5.25,5.25,5.2
TAC,5.2,5.15,5.195,5.25,5.15
TAC,5.15,5.125,5.2,5.195,5.1
TAC,5.1,5.2,5.25,5.2,5.1
TAC,5.2,5.2,5.2,5.25,5.155
TAC,5.2,5.125,5.15,5.2,5.1
TAC,5.1,5.1,5.2,5.15,5.075
TAC,5.1,5.15,5.2,5.2,5.05
TAC,5.15,5.05,5.15,5.2,5.05
TAC,5.1,5.1,5.1,5.15,5.05
TAC,5.05,5.05,5.1,5.1,5.05
TAC,5.1,5.1,5.1,5.1,5.0
TAC,5.1,5.075,5.1,5.1,5.05
TAC,5.075,5.075,5.15,5.1,5.0748
TAC,5.1,5.1,5.075,5.15,5.05
TAC,5.05,4.975,5.0,5.075,4.95
TAC,5.0,4.925,5.0,5.0,4.9
TAC,4.9,5.0,4.94,5.0,4.9
TAC,4.9,4.9,5.0,4.94,4.85
TAC,4.95,4.95,4.99,5.0,4.905
TAC,4.95,4.9142,5.0,4.99,4.9
TAC,4.85,4.975,4.95,5.0,4.85
TAC,4.9,4.95,4.9,4.95,4.855
TAC,4.9,4.8,4.85,4.9,4.775
TAC,4.75,4.75,4.85,4.85,4.75
TAC,4.75,4.8244,5.0652,4.85,4.75
TAC,4.75,5.0,5.1,5.0652,4.75
TAC,4.95,5.05,5.1,5.1,4.9
TAC,5.0,5.1,5.15,5.1,5.0
TAC,5.1,5.15,5.2,5.15,5.05
TAC,5.15,5.1,5.15,5.2,5.1
TAC,5.15,5.15,5.3,5.15,5.1
TAC,5.1,5.2,5.25,5.3,5.1
TAC,5.35,5.15,5.25,5.25,5.15
TAC,5.15,5.225,5.25,5.25,5.15
TAC,5.15,5.2,5.3,5.25,5.15
TAC,5.25,5.25,5.35,5.3,5.25
TAC,5.2,5.3,5.35,5.35,5.2
TAC,5.3088,5.3213,5.35,5.35,5.275
TAC,5.25,5.25,5.35,5.35,5.25
TAC,5.3,5.35,5.4,5.35,5.3
TAC,5.4,5.3,5.35,5.4,5.3
TAC,5.35,5.3,5.45,5.35,5.3
TAC,5.35,5.4,5.55,5.45,5.35
TAC,5.45,5.5,5.55,5.55,5.4
TAC,5.55,5.5,5.6,5.55,5.45
TAC,5.45,5.5795,5.75,5.6,5.45
TAC,5.55,5.7,5.7,5.75,5.55
TAC,5.7,5.7,5.75,5.7,5.6
TAC,5.6,5.7,5.85,5.75,5.6
TAC,5.7,5.8,5.9,5.85,5.65
TAC,5.9,5.8,5.95,5.9,5.65
TAC,5.8,5.925,5.9,5.95,5.755
TAC,5.9,5.8,5.825,5.9,5.75
TAC,5.75,5.8,5.8,5.825,5.725
TAC,5.8,5.7,5.74,5.8,5.6713
TAC,5.65,5.74,5.8,5.74,5.65
TAC,5.75,5.775,5.8,5.8,5.75
TAC,5.75,5.75,5.85,5.8,5.7
TAC,5.755,5.775,5.95,5.85,5.75
TAC,5.8,5.85,5.95,5.95,5.8
TAC,5.8,5.85,5.95,5.95,5.8
TAC,5.85,5.875,5.93,5.95,5.85
TAC,5.9,5.85,5.85,5.93,5.8475
TAC,5.85,5.825,5.85,5.85,5.8178
TAC,5.85,5.825,5.9,5.85,5.8
TAC,5.8,5.85,5.9,5.9,5.8
TAC,5.85,5.85,5.9,5.9,5.825
TAC,5.85,5.85,5.9071,5.9,5.775
TAC,5.8,5.85,6.05,5.9071,5.8
TAC,5.7,5.85,5.85,6.05,5.7
TAC,5.85,5.725,5.7,5.85,5.675
TAC,5.7,5.625,5.7,5.7,5.55
TAC,5.65,5.65,5.7,5.7,5.6
TAC,5.65,5.6,5.7,5.7,5.575
TAC,5.6,5.675,5.7,5.7,5.6
TAC,5.7,5.7,5.75,5.7,5.605
TAC,5.65,5.75,5.75,5.75,5.65
TAC,5.65,5.725,5.725,5.75,5.65
TAC,5.65,5.65,5.7,5.725,5.625
TAC,5.7,5.675,5.75,5.7,5.6
TAC,5.7,5.75,5.75,5.75,5.6643
TAC,5.7,5.725,5.7,5.75,5.7
TAC,5.7,5.65,5.75,5.7,5.605
