model,MSE,R2
V2_1Model,0.032807823426148686,0.9654293635650071
V2_2Model,0.005719497195777126,0.9945530025363171
V2_3Model,0.006058826571673382,0.9939826609200356
V2_4Model,0.0017313251215913426,0.9982325172038633
V2_5Model,0.006989332680089136,0.9934076137983965
V2_6Model,0.0009687541780748988,0.998934659852618
V2_7Model,0.0005651782450153247,0.9994653544088818
V2_8Model,0.0011180147917339146,0.9988649333432073
V2_9Model,0.0002747643550027893,0.9997226416531624
V2_10Model,1.2759145019930707e-05,0.9955726330434007
