Ticker,opening,closing,NextHigh,high,low,day
CAMT,36.1,34.949,36.07,36.22,34.5,1
CAMT,35.01,35.97,36.5,36.07,34.75,2
CAMT,36.06,35.96,37.45,36.5,35.8,3
CAMT,36.41,37.39,38.2,37.45,36.23,4
CAMT,37.59,37.02,38.47,38.2,37.0,5
CAMT,37.44,38.41,38.3,38.47,37.34,6
CAMT,38.24,37.57,38.41,38.3,37.33,7
CAMT,38.13,37.71,37.72,38.41,37.24,8
CAMT,37.66,36.7,36.9772,37.72,35.8187,9
CAMT,36.85,36.06,36.16,36.9772,35.6,10
CAMT,35.95,36.0,36.58,36.16,35.36,11
CAMT,36.21,35.46,34.74,36.58,35.195,12
CAMT,34.27,34.41,35.29,34.74,33.25,13
CAMT,34.64,35.16,36.01,35.29,34.34,14
CAMT,35.18,35.6,35.73,36.01,35.1,15
CAMT,35.6,35.37,36.27,35.73,35.11,16
CAMT,35.64,34.4,35.66,36.27,34.225,17
CAMT,35.23,34.7,35.5586,35.66,34.385,18
CAMT,34.85,33.38,34.19,35.5586,32.88,19
CAMT,32.83,33.74,35.1,34.19,32.3011,20
CAMT,33.69,34.79,35.73,35.1,33.15,21
CAMT,34.82,35.66,35.8,35.73,34.82,22
CAMT,35.59,34.7,34.96,35.8,34.59,23
CAMT,34.75,34.85,35.92,34.96,34.2434,24
CAMT,34.8,35.33,35.12,35.92,34.8,25
CAMT,35.12,33.71,35.475,35.12,33.0214,26
CAMT,34.15,35.25,37.46,35.475,34.1118,27
CAMT,35.55,37.385,37.91,37.46,35.28,28
CAMT,37.1,37.47,38.42,37.91,36.77,29
CAMT,37.99,37.12,37.75,38.42,37.06,30
CAMT,37.17,37.49,39.78,37.75,36.19,31
CAMT,36.86,39.67,40.46,39.78,36.86,32
CAMT,39.67,37.26,38.36,40.46,36.81,33
CAMT,37.2,37.69,38.72,38.36,37.0,34
CAMT,37.34,38.63,39.28,38.72,36.91,35
CAMT,39.06,37.92,38.66,39.28,37.75,36
CAMT,38.43,37.4,38.14,38.66,36.8189,37
CAMT,37.34,38.14,38.42,38.14,37.28,38
CAMT,38.02,37.55,37.27,38.42,37.2,39
CAMT,37.27,35.74,35.59,37.27,35.55,40
CAMT,35.58,35.5,36.29,35.59,34.68,41
CAMT,35.66,35.64,36.455,36.29,35.53,42
CAMT,35.27,35.95,36.31,36.455,35.1504,43
CAMT,36.15,35.58,37.86,36.31,35.23,44
CAMT,36.25,37.79,39.84,37.86,36.51,45
CAMT,38.33,39.84,41.8,39.84,38.26,46
CAMT,39.91,41.18,41.3956,41.8,39.91,47
CAMT,40.96,39.9,41.4566,41.3956,39.79,48
CAMT,39.88,41.19,42.3934,41.4566,39.84,49
CAMT,42.05,41.635,42.19,42.3934,41.01,50
CAMT,42.18,41.31,41.38,42.19,40.8514,51
CAMT,41.38,40.89,41.95,41.38,40.57,52
CAMT,41.17,41.36,42.31,41.95,41.13,53
CAMT,41.4,42.02,42.88,42.31,41.2,54
