Ticker,opening,closing,NextHigh,high,low,day
GLG,0.73,0.741,0.75,0.76,0.7237,1
GLG,0.745,0.7325,0.77,0.75,0.718,2
GLG,0.75,0.7096,0.71,0.77,0.6817,3
GLG,0.71,0.6719,0.685,0.71,0.661,4
GLG,0.67,0.668,0.7563,0.685,0.65,5
GLG,0.7,0.7563,0.9349,0.7563,0.661,6
GLG,0.9086,0.8207,0.8429,0.9349,0.7959,7
GLG,0.78,0.839,0.87,0.8429,0.78,8
GLG,0.8006,0.777,0.7998,0.87,0.76,9
GLG,0.7845,0.7771,0.805,0.7998,0.75,10
GLG,0.8,0.7852,0.794,0.805,0.771,11
GLG,0.79,0.785,0.79,0.794,0.7596,12
GLG,0.7662,0.79,0.82,0.79,0.7522,13
GLG,0.798,0.8196,1.02,0.82,0.77,14
GLG,0.8051,0.89,0.8699,1.02,0.774,15
GLG,0.82,0.8591,0.923,0.8699,0.815,16
GLG,0.8527,0.8999,0.9,0.923,0.85,17
GLG,0.89,0.8734,0.88,0.9,0.862,18
GLG,0.8619,0.846,0.8599,0.88,0.83,19
GLG,0.846,0.8149,0.82,0.8599,0.812,20
GLG,0.8136,0.785,0.815,0.82,0.7566,21
GLG,0.7946,0.8005,0.84,0.815,0.7884,22
GLG,0.83,0.822001,0.82,0.84,0.791,23
GLG,0.8185,0.8049,0.82,0.82,0.7811,24
GLG,0.82,0.7758,0.79,0.82,0.76,25
GLG,0.7774,0.7453,0.76,0.79,0.7339,26
GLG,0.75,0.7377,0.782,0.76,0.721,27
GLG,0.7378,0.7299,0.71,0.782,0.72,28
GLG,0.708,0.672,0.718,0.71,0.672,29
GLG,0.71,0.7016,0.717,0.718,0.685001,30
GLG,0.71,0.69,0.707,0.717,0.681,31
GLG,0.707,0.6999,0.7001,0.707,0.68,32
GLG,0.7,0.6897,0.7208,0.7001,0.67,33
GLG,0.698,0.7102,0.71,0.7208,0.6811,34
GLG,0.703,0.675,0.7021,0.71,0.672,35
GLG,0.6803,0.666,0.69,0.7021,0.666,36
GLG,0.6712,0.6826,0.7,0.69,0.663,37
GLG,0.6811,0.6809,0.6882,0.7,0.67,38
GLG,0.6841,0.6724,0.6855,0.6882,0.656,39
GLG,0.66,0.665,0.67,0.6855,0.6509,40
GLG,0.6694,0.6586,0.68,0.67,0.652,41
GLG,0.68,0.6698,0.6781,0.68,0.652,42
