Ticker,opening,closing,NextHigh,high,low
AUY,3.01,3.13,3.12,3.16,3.01
AUY,3.09,3.1,3.15,3.12,3.05
AUY,3.13,3.12,3.15,3.15,3.08
AUY,3.11,3.11,3.31,3.15,3.085
AUY,3.17,3.295,3.29,3.31,3.15
AUY,3.29,3.21,3.26,3.29,3.12
AUY,3.21,3.26,3.27,3.26,3.17
AUY,3.24,3.25,3.25,3.27,3.2
AUY,3.23,3.17,3.15,3.25,3.14
AUY,3.11,3.13,3.235,3.15,3.08
AUY,3.18,3.18,3.36,3.235,3.16
AUY,3.19,3.34,3.45,3.36,3.19
AUY,3.4,3.45,3.5,3.45,3.35
AUY,3.49,3.485,3.55,3.5,3.395
AUY,3.47,3.415,3.44,3.55,3.39
AUY,3.39,3.32,3.38,3.44,3.32
AUY,3.35,3.34,3.43,3.38,3.34
AUY,3.37,3.42,3.6,3.43,3.34
AUY,3.41,3.58,3.8,3.6,3.38
AUY,3.65,3.67,3.76,3.8,3.65
AUY,3.72,3.57,3.74,3.76,3.52
AUY,3.61,3.66,3.61,3.74,3.59
AUY,3.6,3.465,3.555,3.61,3.435
AUY,3.5,3.4,3.49,3.555,3.37
AUY,3.47,3.445,3.51,3.49,3.3
AUY,3.38,3.47,3.41,3.51,3.372
AUY,3.38,3.275,3.33,3.41,3.25
AUY,3.26,3.28,3.319,3.33,3.21
AUY,3.27,3.18,3.25,3.319,3.13
AUY,3.17,3.12,3.22,3.25,3.085
AUY,3.13,3.13,3.17,3.22,3.09
AUY,3.11,3.08,3.3,3.17,2.96
AUY,3.11,3.26,3.34,3.3,3.09
AUY,3.3,3.3,3.53,3.34,3.22
AUY,3.3,3.46,3.495,3.53,3.29
AUY,3.48,3.44,3.29,3.495,3.31
AUY,3.26,3.12,3.11,3.29,3.02
AUY,3.06,2.97,3.12,3.11,2.96
AUY,3.0,3.01,3.05,3.12,2.95
AUY,3.01,2.92,2.99,3.05,2.91
AUY,2.94,2.95,3.01,2.99,2.91
AUY,3.0,2.91,2.9059,3.01,2.8601
AUY,2.88,2.89,2.94,2.9059,2.79
AUY,2.87,2.91,3.0,2.94,2.85
AUY,2.89,2.985,3.04,3.0,2.82
AUY,3.02,2.96,2.99,3.04,2.885
AUY,2.95,2.9,3.0,2.99,2.88
AUY,2.97,2.91,2.9414,3.0,2.91
AUY,2.92,2.82,2.84,2.9414,2.81
AUY,2.83,2.78,2.7701,2.84,2.76
AUY,2.77,2.62,2.67,2.7701,2.59
AUY,2.62,2.62,2.66,2.67,2.58
AUY,2.66,2.615,2.69,2.66,2.6
AUY,2.62,2.655,2.65,2.69,2.61
AUY,2.64,2.61,2.64,2.65,2.58
AUY,2.6,2.605,2.67,2.64,2.58
AUY,2.62,2.635,2.64,2.67,2.59
AUY,2.6,2.62,2.81,2.64,2.58
AUY,2.65,2.79,2.78,2.81,2.64
AUY,2.78,2.71,2.88,2.78,2.69
AUY,2.79,2.84,2.88,2.88,2.77
AUY,2.87,2.83,2.83,2.88,2.81
AUY,2.77,2.77,2.77,2.83,2.71
AUY,2.77,2.71,2.79,2.77,2.68
AUY,2.7,2.76,2.86,2.79,2.69
AUY,2.81,2.83,2.84,2.86,2.77
AUY,2.84,2.77,2.84,2.84,2.76
AUY,2.83,2.65,2.695,2.84,2.63
AUY,2.64,2.67,2.78,2.695,2.6
AUY,2.7,2.76,2.86,2.78,2.68
AUY,2.76,2.81,2.85,2.86,2.735
AUY,2.85,2.81,2.99,2.85,2.79
AUY,2.85,2.975,2.95,2.99,2.85
AUY,2.94,2.87,3.0,2.95,2.86
AUY,2.93,2.91,2.975,3.0,2.88
AUY,2.95,2.915,2.96,2.975,2.891
AUY,2.91,2.95,3.08,2.96,2.89
AUY,2.99,2.97,3.02,3.08,2.96
AUY,3.0,2.97,2.97,3.02,2.94
AUY,2.94,2.96,2.91,2.97,2.89
AUY,2.9,2.86,2.94,2.91,2.84
AUY,2.87,2.94,2.96,2.94,2.86
AUY,2.86,2.89,2.96,2.96,2.85
AUY,2.92,2.94,3.04,2.96,2.85
AUY,2.95,3.02,2.995,3.04,2.94
AUY,2.96,2.865,2.86,2.995,2.86
AUY,2.85,2.85,3.04,2.86,2.77
AUY,2.87,2.96,3.07,3.04,2.86
AUY,3.04,3.01,3.03,3.07,2.98
AUY,3.01,2.925,2.98,3.03,2.91
AUY,2.92,2.925,2.99,2.98,2.915
AUY,2.92,2.955,2.99,2.99,2.861
AUY,2.94,2.945,3.0118,2.99,2.93
AUY,2.98,2.97,3.0,3.0118,2.94
AUY,2.99,2.93,2.96,3.0,2.9
AUY,2.95,2.93,2.88,2.96,2.92
AUY,2.85,2.82,2.85,2.88,2.79
AUY,2.83,2.79,2.82,2.85,2.78
AUY,2.79,2.795,2.82,2.82,2.77
AUY,2.77,2.805,2.88,2.82,2.77
AUY,2.82,2.87,2.88,2.88,2.7913
AUY,2.87,2.81,2.84,2.88,2.8
AUY,2.81,2.82,2.92,2.84,2.78
AUY,2.84,2.91,2.94,2.92,2.8258
AUY,2.9,2.86,2.9,2.94,2.86
AUY,2.83,2.87,2.95,2.9,2.81
AUY,2.88,2.91,2.94,2.95,2.873
AUY,2.91,2.92,2.9275,2.94,2.89
AUY,2.9,2.87,2.9,2.9275,2.86
AUY,2.88,2.82,2.91,2.9,2.82
AUY,2.83,2.9,2.94,2.91,2.82
AUY,2.91,2.925,2.93,2.94,2.88
AUY,2.93,2.9,2.93,2.93,2.865
AUY,2.91,2.93,3.02,2.93,2.88
AUY,2.91,3.0,3.035,3.02,2.9
AUY,3.0,3.0,3.04,3.035,2.97
AUY,2.98,3.0,3.17,3.04,2.93
AUY,3.05,3.15,3.09,3.17,3.03
AUY,3.07,2.97,3.019,3.09,2.95
AUY,2.97,2.995,3.09,3.019,2.95
AUY,2.97,3.04,3.08,3.09,2.96
AUY,3.05,3.01,3.04,3.08,2.99
AUY,3.0,2.98,3.0299,3.04,2.96
AUY,2.99,3.015,3.04,3.0299,2.97
AUY,3.02,2.98,2.97,3.04,2.97
AUY,2.96,2.96,2.97,2.97,2.87
AUY,2.96,2.905,2.93,2.97,2.9
AUY,2.9,2.88,2.97,2.93,2.85
AUY,2.9,2.9,2.9,2.97,2.89
AUY,2.89,2.88,3.12,2.9,2.83
AUY,2.91,3.0691,3.15,3.12,2.9
AUY,3.07,3.14,3.14,3.15,3.04
AUY,3.14,3.095,3.18,3.14,3.07
AUY,3.15,3.08,3.08,3.18,3.065
AUY,3.05,3.06,3.069,3.08,3.0
AUY,3.02,2.895,2.96,3.069,2.89
AUY,2.96,2.9,2.94,2.96,2.9
AUY,2.9,2.915,2.96,2.94,2.88
AUY,2.91,2.92,2.9299,2.96,2.9
AUY,2.87,2.87,2.88,2.9299,2.85
AUY,2.87,2.85,2.8199,2.88,2.81
AUY,2.79,2.77,2.84,2.8199,2.7
AUY,2.81,2.84,2.83,2.84,2.78
AUY,2.8,2.79,2.84,2.83,2.77
AUY,2.82,2.775,2.82,2.84,2.77
AUY,2.8,2.805,2.85,2.82,2.76
AUY,2.78,2.765,3.14,2.85,2.76
AUY,2.87,3.03,3.14,3.14,2.83
AUY,3.05,3.105,3.23,3.14,3.04
AUY,3.11,3.195,3.23,3.23,3.09
AUY,3.18,3.17,3.18,3.23,3.14
AUY,3.14,3.06,3.14,3.18,3.04
AUY,3.1,3.1,3.11,3.14,3.03
AUY,3.07,3.03,3.09,3.11,3.0
AUY,3.09,3.02,3.06,3.09,3.0
AUY,3.01,3.05,3.12,3.06,2.96
AUY,3.08,3.03,3.1,3.12,3.03
AUY,3.03,3.03,3.02,3.1,3.01
AUY,3.01,2.87,2.92,3.02,2.86
AUY,2.89,2.84,2.84,2.92,2.82
AUY,2.82,2.7,2.78,2.84,2.67
AUY,2.72,2.59,2.7299,2.78,2.58
AUY,2.63,2.71,2.75,2.7299,2.61
AUY,2.75,2.705,2.78,2.75,2.65
AUY,2.72,2.78,2.82,2.78,2.68
AUY,2.8,2.76,2.75,2.82,2.75
AUY,2.74,2.67,2.84,2.75,2.66
AUY,2.73,2.8,2.89,2.84,2.71
AUY,2.81,2.84,2.89,2.89,2.8
AUY,2.86,2.79,2.83,2.89,2.77
AUY,2.82,2.81,2.81,2.83,2.77
AUY,2.79,2.77,2.8,2.81,2.73
AUY,2.77,2.78,2.72,2.8,2.75
AUY,2.72,2.61,2.64,2.72,2.6
AUY,2.64,2.5,2.5668,2.64,2.5
AUY,2.53,2.445,2.49,2.5668,2.42
AUY,2.43,2.43,2.4541,2.49,2.4
AUY,2.45,2.37,2.44,2.4541,2.36
AUY,2.38,2.42,2.55,2.44,2.3
AUY,2.42,2.51,2.59,2.55,2.39
AUY,2.56,2.5,2.54,2.59,2.48
AUY,2.51,2.44,2.57,2.54,2.44
AUY,2.45,2.54,2.56,2.57,2.44
AUY,2.54,2.52,2.6,2.56,2.49
AUY,2.55,2.56,2.59,2.6,2.53
AUY,2.59,2.54,2.58,2.59,2.48
AUY,2.5,2.49,2.59,2.58,2.46
AUY,2.52,2.51,2.59,2.59,2.5
AUY,2.54,2.56,2.57,2.59,2.54
AUY,2.55,2.49,2.46,2.57,2.48
AUY,2.45,2.43,2.55,2.46,2.38
