Ticker,name,sector,opening,closing,high,low
MMM,3M Company,Industrials,195.18,196.2,197.29,194.77
ABT,Abbott Laboratories,Health Care,124.53,126.071,126.19,124.36
ABBV,AbbVie Inc.,Health Care,119.85,120.705,120.9,119.54
ABMD,Abiomed,Health Care,360.68,361.32,364.485,359.81
ACN,Accenture,Information Technology,335.0,337.31,338.65,332.9196
ATVI,Activision Blizzard,Communication Services,81.7,81.22,81.56,79.92
ADBE,Adobe Inc.,Information Technology,660.06,666.855,666.94,659.7774
AMD,Advanced Micro Devices,Information Technology,112.6,111.655,114.4899,111.36
AAP,Advance Auto Parts,Consumer Discretionary,204.0,201.285,204.34,201.24
AES,AES Corp,Utilities,24.3,24.135,24.33,24.075
AFL,Aflac,Financials,57.07,56.505,57.09,56.35
A,Agilent Technologies,Health Care,173.86,176.87,177.12,173.86
APD,Air Products & Chemicals,Materials,269.06,270.25,271.18,268.64
AKAM,Akamai Technologies,Information Technology,112.19,113.13,113.595,112.19
ALK,Alaska Air Group,Industrials,58.51,56.625,58.51,56.53
ALB,Albemarle Corporation,Materials,240.71,237.41,244.4294,237.26
ARE,Alexandria Real Estate Equities,Real Estate,204.9,205.35,205.91,204.5
ALXN,Alexion Pharmaceuticals,Health Care,181.25,182.41,182.67,180.13
ALGN,Align Technology,Health Care,706.42,702.015,712.8,698.68
ALLE,Allegion,Industrials,141.94,142.7,143.85,141.17
LNT,Alliant Energy,Utilities,60.7,60.84,61.05,60.59
ALL,Allstate Corp,Financials,136.57,134.8966,136.9399,134.71
GOOGL,Alphabet Inc. (Class A),Communication Services,2888.0,2898.76,2919.41,2883.26
GOOG,Alphabet Inc. (Class C),Communication Services,2894.58,2915.11,2929.7898,2892.0
MO,Altria Group Inc,Consumer Staples,49.62,49.765,49.9199,49.371
AMZN,Amazon.com Inc.,Consumer Discretionary,3356.03,3431.48,3445.0,3355.22
AMCR,Amcor plc,Materials,12.84,12.77,12.83,12.73
AEE,Ameren Corp,Utilities,88.09,88.42,88.76,87.81
AAL,American Airlines Group,Industrials,20.29,19.481,20.3,19.47
AEP,American Electric Power,Utilities,89.21,89.65,89.955,89.01
AXP,American Express,Financials,168.16,164.55,168.3,164.21
AIG,American International Group,Financials,55.05,54.175,55.05,54.08
AMT,American Tower Corp.,Real Estate,285.5,290.7901,290.86,285.22
AWK,American Water Works,Utilities,181.61,182.63,183.31,180.79
AMP,Ameriprise Financial,Financials,277.63,273.33,277.95,272.7119
ABC,AmerisourceBergen,Health Care,119.57,119.49,120.49,119.35
AME,Ametek,Industrials,137.52,137.24,137.95,136.73
AMGN,Amgen Inc.,Health Care,222.25,224.09,225.31,222.1
APH,Amphenol Corp,Information Technology,76.92,76.9,77.25,76.55
ADI,"Analog Devices, Inc.",Information Technology,166.97,166.98,168.27,166.65
ANSS,"ANSYS, Inc.",Information Technology,366.61,365.05,369.0,362.865
ANTM,Anthem,Health Care,373.5,370.705,373.5,369.82
AON,Aon plc,Financials,285.58,285.515,288.15,285.01
AOS,A.O. Smith Corp,Industrials,72.62,72.92,73.295,72.38
APA,APA Corporation,Energy,19.0,18.67,19.06,18.46
AAPL,Apple Inc.,Information Technology,149.0,153.37,153.49,148.61
AMAT,Applied Materials Inc.,Information Technology,137.74,136.21,137.89,135.38
APTV,Aptiv PLC,Consumer Discretionary,156.83,153.32,157.1737,153.05
ADM,Archer-Daniels-Midland Co,Consumer Staples,60.54,60.13,60.65,60.05
ANET,Arista Networks,Information Technology,373.55,372.83,374.33,369.45
AJG,Arthur J. Gallagher & Co.,Financials,144.07,143.55,144.715,143.55
AIZ,Assurant,Financials,169.65,168.65,169.78,168.65
T,AT&T Inc.,Communication Services,27.14,27.225,27.3,27.05
ATO,Atmos Energy,Utilities,97.39,97.4,97.8,97.07
ADSK,Autodesk Inc.,Information Technology,317.0,313.74,318.72,310.16
ADP,Automatic Data Processing,Information Technology,209.01,209.02,210.83,208.99
AZO,AutoZone Inc,Consumer Discretionary,1555.75,1556.64,1562.88,1544.01
AVB,AvalonBay Communities,Real Estate,225.68,227.85,228.03,224.82
AVY,Avery Dennison Corp,Materials,226.77,226.505,228.88,226.1899
BKR,Baker Hughes Co,Energy,23.1,22.815,23.32,22.76
BLL,Ball Corp,Materials,94.37,95.68,96.18,94.59
BAC,Bank of America Corp,Financials,42.62,41.775,42.63,41.625
BK,The Bank of New York Mellon,Financials,56.49,55.235,56.64,55.235
BAX,Baxter International Inc.,Health Care,74.25,76.12,76.72,74.25
BDX,Becton Dickinson,Health Care,248.95,250.87,252.03,248.27
BRK.B,Berkshire Hathaway,Financials,286.61,285.78,287.04,285.02
BBY,Best Buy Co. Inc.,Consumer Discretionary,118.02,118.42,119.44,117.43
BIO,Bio-Rad Laboratories,Health Care,792.41,812.595,814.29,792.41
BIIB,Biogen Inc.,Health Care,342.92,344.57,345.775,340.75
BLK,BlackRock,Financials,959.31,949.5,959.885,949.32
BA,Boeing Company,Industrials,222.19,218.055,222.37,217.53
BKNG,Booking Holdings Inc,Consumer Discretionary,2300.0,2280.83,2306.5732,2270.42
BWA,BorgWarner,Consumer Discretionary,43.67,43.0046,43.71,42.985
BXP,Boston Properties,Real Estate,113.4,111.51,113.67,110.65
BSX,Boston Scientific,Health Care,44.88,44.85,45.09,44.625
BMY,Bristol-Myers Squibb,Health Care,66.71,67.285,67.48,66.51
AVGO,Broadcom Inc.,Information Technology,499.67,499.0,507.85,498.2537
BR,Broadridge Financial Solutions,Information Technology,171.33,172.42,172.6,171.33
BF.B,Brown-Forman Corp.,Consumer Staples,70.15,70.455,70.57,69.95
CHRW,C. H. Robinson Worldwide,Industrials,90.89,90.745,91.585,90.47
COG,Cabot Oil & Gas,Energy,15.57,15.7831,16.035,15.53
CDNS,Cadence Design Systems,Information Technology,163.22,163.92,164.44,163.0
CZR,Caesars Entertainment,Consumer Discretionary,103.955,102.23,104.59,101.49
CPB,Campbell Soup,Consumer Staples,41.23,40.985,41.49,40.9
COF,Capital One Financial,Financials,172.14,165.63,173.57,165.51
CAH,Cardinal Health Inc.,Health Care,51.75,51.56,51.96,51.495
KMX,Carmax Inc,Consumer Discretionary,127.0,126.49,128.2,125.5
CCL,Carnival Corp.,Consumer Discretionary,24.6,23.6164,24.64,23.6
CARR,Carrier Global,Industrials,58.52,58.165,58.89,58.09
CTLT,Catalent,Health Care,128.9,130.18,132.685,128.0301
CAT,Caterpillar Inc.,Industrials,213.22,211.81,213.74,210.8
CBOE,Cboe Global Markets,Financials,124.66,124.3,125.75,123.87
CBRE,CBRE Group,Real Estate,95.63,95.76,96.22,95.07
CDW,CDW,Information Technology,199.79,200.96,201.36,198.62
CE,Celanese,Materials,161.14,159.84,161.16,159.77
CNC,Centene Corporation,Health Care,63.89,63.285,63.95,63.1606
CNP,CenterPoint Energy,Utilities,25.59,25.415,25.625,25.325
CERN,Cerner,Health Care,76.84,76.26,77.15,76.15
CF,CF Industries Holdings Inc,Materials,45.64,44.85,45.64,44.4
CRL,Charles River Laboratories,Health Care,436.75,444.85,445.195,436.75
SCHW,Charles Schwab Corporation,Financials,75.85,73.64,76.0,73.33
CHTR,Charter Communications,Communication Services,808.79,815.01,816.14,803.81
CVX,Chevron Corp.,Energy,98.89,98.735,99.308,97.97
CMG,Chipotle Mexican Grill,Consumer Discretionary,1919.0,1917.22,1932.61,1910.85
CB,Chubb Limited,Financials,186.58,184.14,186.58,184.11
CHD,Church & Dwight,Consumer Staples,82.72,83.48,83.63,82.68
CI,Cigna,Health Care,210.64,207.375,210.9,207.27
CINF,Cincinnati Financial,Financials,124.31,123.195,124.35,123.175
