Ticker,date,sector,name,opening,closing,high,low
MMM,2021-08-02,Industrials,,199.07,197.52,200.7,197.435
ABT,2021-08-02,Health Care,,121.5,120.92,121.78,120.175
ABBV,2021-08-02,Health Care,,116.89,115.45,117.24,115.41
ABMD,2021-08-02,Health Care,,329.81,328.36,331.17,325.25
ACN,2021-08-02,Information Technology,,319.27,316.08,319.49,315.5
ATVI,2021-08-02,Communication Services,,84.03,82.76,84.165,82.54
ADBE,2021-08-02,Information Technology,,625.87,618.75,627.6,612.93
AMD,2021-08-02,Information Technology,,105.93,108.63,110.33,103.83
AAP,2021-08-02,Consumer Discretionary,,213.19,212.71,213.92,210.4
AES,2021-08-02,Utilities,,23.92,23.57,23.92,23.52
AFL,2021-08-02,Financials,,55.31,54.71,56.11,54.64
A,2021-08-02,Health Care,,154.05,153.07,154.3,152.52
APD,2021-08-02,Materials,,292.37,288.73,293.66,288.32
AKAM,2021-08-02,Information Technology,,119.86,118.9,120.0,117.23
ALK,2021-08-02,Industrials,,58.21,56.71,59.73,56.62
ALB,2021-08-02,Materials,,208.36,206.9,208.96,204.63
ARE,2021-08-02,Real Estate,,202.09,203.01,203.59,201.84
ALGN,2021-08-02,Health Care,,700.0,700.0,713.7,695.6
ALLE,2021-08-02,Industrials,,137.05,135.87,138.57,135.7
LNT,2021-08-02,Utilities,,58.56,59.15,59.19,58.42
ALL,2021-08-02,Financials,,130.76,129.76,132.075,129.65
GOOGL,2021-08-02,Communication Services,,2702.34,2697.09,2706.73,2675.88
GOOG,2021-08-02,Communication Services,,2709.69,2719.79,2720.41,2693.39
MO,2021-08-02,Consumer Staples,,48.24,47.73,48.69,47.7
AMZN,2021-08-02,Consumer Discretionary,,3353.1,3331.48,3358.92,3317.0
AMCR,2021-08-02,Materials,,11.6,11.52,11.73,11.51
AEE,2021-08-02,Utilities,,84.13,84.81,85.03,83.9
AAL,2021-08-02,Industrials,,20.49,20.06,20.85,19.99
AEP,2021-08-02,Utilities,,88.25,88.34,88.88,87.66
AXP,2021-08-02,Financials,,171.14,169.27,173.36,168.76
AIG,2021-08-02,Financials,,47.87,47.37,48.84,47.28
AMT,2021-08-02,Real Estate,,283.5,283.62,286.13,283.17
AWK,2021-08-02,Utilities,,169.98,172.25,172.27,169.83
AMP,2021-08-02,Financials,,259.62,258.42,263.15,257.88
ABC,2021-08-02,Health Care,,122.28,122.73,123.31,121.23
AME,2021-08-02,Industrials,,139.4,138.23,140.1,137.93
AMGN,2021-08-02,Health Care,,242.12,239.79,242.48,238.37
APH,2021-08-02,Information Technology,,72.85,72.68,73.09,72.345
ADI,2021-08-02,Information Technology,,168.64,167.62,171.33,167.37
ANSS,2021-08-02,Information Technology,,370.0,369.63,373.61,366.14
ANTM,2021-08-02,Health Care,,385.34,390.29,391.3,384.28
AON,2021-08-02,Financials,,261.92,259.94,262.57,259.315
AOS,2021-08-02,Industrials,,70.43,69.84,71.08,69.79
APA,2021-08-02,Energy,,18.81,18.28,19.33,18.27
AAPL,2021-08-02,Information Technology,,146.36,145.52,146.95,145.25
AMAT,2021-08-02,Information Technology,,141.04,142.01,145.25,140.89
APTV,2021-08-02,Consumer Discretionary,,168.29,167.66,169.94,166.98
ADM,2021-08-02,Consumer Staples,,59.93,59.36,60.7,59.33
ANET,2021-08-02,Information Technology,,381.0,377.18,381.99,375.62
AJG,2021-08-02,Financials,,139.83,139.18,141.16,138.93
AIZ,2021-08-02,Financials,,158.31,157.26,159.51,156.96
T,2021-08-02,Communication Services,,28.24,28.11,28.55,28.03
ATO,2021-08-02,Utilities,,98.75,99.54,100.01,98.59
ADSK,2021-08-02,Information Technology,,321.41,322.07,324.13,319.15
ADP,2021-08-02,Information Technology,,210.54,209.45,211.265,209.23
AZO,2021-08-02,Consumer Discretionary,,1633.44,1634.01,1638.31,1609.55
AVB,2021-08-02,Real Estate,,229.71,228.81,231.89,227.5
AVY,2021-08-02,Materials,,211.68,210.26,215.25,209.8
BKR,2021-08-02,Energy,,21.27,20.86,21.91,20.735
BLL,2021-08-02,Materials,,80.97,81.39,81.665,80.76
BAC,2021-08-02,Financials,,38.4,37.96,38.95,37.91
BK,2021-08-02,Financials,,51.73,51.28,52.56,51.21
BAX,2021-08-02,Health Care,,77.6,77.21,77.98,76.82
BDX,2021-08-02,Health Care,,256.36,256.13,257.925,254.65
BBY,2021-08-02,Consumer Discretionary,,113.09,112.49,113.5,112.35
BIO,2021-08-02,Health Care,,742.96,736.47,746.02,720.31
BIIB,2021-08-02,Health Care,,327.04,331.7,336.08,326.26
BLK,2021-08-02,Financials,,873.3,873.26,881.565,871.45
BA,2021-08-02,Industrials,,227.19,225.34,230.47,224.87
BKNG,2021-08-02,Consumer Discretionary,,2191.68,2170.94,2235.97,2160.18
BWA,2021-08-02,Consumer Discretionary,,49.34,48.79,49.98,48.56
BXP,2021-08-02,Real Estate,,118.29,116.34,120.23,116.23
BSX,2021-08-02,Health Care,,45.77,45.88,46.285,45.34
BMY,2021-08-02,Health Care,,68.2,68.02,68.7,67.96
AVGO,2021-08-02,Information Technology,,489.05,484.68,494.6,483.51
BR,2021-08-02,Information Technology,,174.5,173.39,175.21,173.215
CHRW,2021-08-02,Industrials,,89.28,89.65,90.2816,88.92
COG,2021-08-02,Energy,,16.01,16.12,16.4,15.94
CDNS,2021-08-02,Information Technology,,147.82,147.29,148.14,145.81
CZR,2021-08-02,Consumer Discretionary,,88.33,86.5,90.645,86.21
CPB,2021-08-02,Consumer Staples,,43.72,43.31,43.75,43.26
COF,2021-08-02,Financials,,163.14,160.1,165.91,158.92
CAH,2021-08-02,Health Care,,59.43,59.57,59.93,59.09
KMX,2021-08-02,Consumer Discretionary,,135.7,136.5,137.1584,134.901
CCL,2021-08-02,Consumer Discretionary,,21.83,21.46,22.555,21.355
CARR,2021-08-02,Industrials,,55.3,54.61,56.03,54.482
CTLT,2021-08-02,Health Care,,120.28,120.34,120.78,117.915
CAT,2021-08-02,Industrials,,208.0,205.16,210.9028,204.95
CBRE,2021-08-02,Real Estate,,97.38,95.65,97.96,95.36
CDW,2021-08-02,Information Technology,,184.8,183.67,185.45,183.28
CE,2021-08-02,Materials,,156.28,153.99,158.57,153.96
CNC,2021-08-02,Health Care,,68.62,70.31,70.46,68.57
CNP,2021-08-02,Utilities,,25.5,25.55,25.765,25.45
CERN,2021-08-02,Health Care,,80.06,80.11,80.22,79.44
CF,2021-08-02,Materials,,47.46,45.96,47.75,45.91
CRL,2021-08-02,Health Care,,408.71,405.6,410.52,401.6267
SCHW,2021-08-02,Financials,,68.2,67.74,69.71,67.62
CHTR,2021-08-02,Communication Services,,748.73,749.87,751.94,738.75
CVX,2021-08-02,Energy,,102.08,101.63,103.98,101.56
CMG,2021-08-02,Consumer Discretionary,,1876.91,1864.42,1877.78,1855.66
CB,2021-08-02,Financials,,169.88,170.35,172.66,169.1671
CHD,2021-08-02,Consumer Staples,,86.28,85.6,86.73,84.39
CI,2021-08-02,Health Care,,230.0,229.35,230.84,228.5
CINF,2021-08-02,Financials,,118.73,119.11,120.6899,118.24
CTAS,2021-08-02,Industrials,,392.66,389.37,396.26,388.65
CSCO,2021-08-02,Information Technology,,55.5972,55.45,55.94,55.26
C,2021-08-02,Financials,,67.95,67.73,69.12,67.64
CFG,2021-08-02,Financials,,42.38,41.79,43.44,41.745
CTXS,2021-08-02,Information Technology,,100.28,103.57,103.94,99.1293
CLX,2021-08-02,Consumer Staples,,180.89,181.2,181.84,178.91
CME,2021-08-02,Financials,,212.14,211.5,213.84,211.08
CMS,2021-08-02,Utilities,,62.02,62.66,62.82,61.82
KO,2021-08-02,Consumer Staples,,57.2,56.88,57.24,56.705
CTSH,2021-08-02,Information Technology,,73.56,73.67,74.34,73.11
CL,2021-08-02,Consumer Staples,,79.49,79.54,79.82,78.65
CMCSA,2021-08-02,Communication Services,,58.96,58.47,59.27,58.01
CMA,2021-08-02,Financials,,69.15,67.66,70.72,67.63
CAG,2021-08-02,Consumer Staples,,33.22,33.38,33.445,33.08
COP,2021-08-02,Energy,,56.53,55.38,57.76,55.33
ED,2021-08-02,Utilities,,73.97,74.5,74.77,73.94
STZ,2021-08-02,Consumer Staples,,224.91,222.79,225.3,222.22
COO,2021-08-02,Health Care,,422.82,423.61,425.045,419.98
CPRT,2021-08-02,Industrials,,147.17,146.04,148.31,145.55
GLW,2021-08-02,Information Technology,,42.11,41.1,42.555,41.07
CTVA,2021-08-02,Materials,,43.0,42.48,43.45,42.45
COST,2021-08-02,Consumer Staples,,430.62,428.92,430.71,425.48
CCI,2021-08-02,Real Estate,,193.81,193.11,195.17,192.6973
CSX,2021-08-02,Industrials,,32.45,32.09,32.63,31.965
CMI,2021-08-02,Industrials,,232.81,229.06,234.15,228.85
CVS,2021-08-02,Health Care,,82.36,82.41,82.92,82.02
DHI,2021-08-02,Consumer Discretionary,,96.57,96.49,97.49,95.87
DHR,2021-08-02,Health Care,,299.17,297.04,300.0,295.01
DRI,2021-08-02,Consumer Discretionary,,147.05,147.71,149.825,146.5
DVA,2021-08-02,Health Care,,120.45,121.37,122.0434,120.325
DE,2021-08-02,Industrials,,363.9,355.95,367.41,355.25
DAL,2021-08-02,Industrials,,40.04,39.45,40.97,39.399
